alpha, CL
  -4.825317,   -0.125889
  -4.523414,   -0.100195
  -4.219461,   -0.074327
  -3.913428,   -0.048282
  -3.605167,   -0.022047
  -3.294586,    0.004385
  -2.981835,    0.031002
  -2.666886,    0.057806
  -2.349713,    0.084799
  -2.030203,    0.111991
  -1.708180,    0.139397
  -1.383850,    0.167000
  -1.057190,    0.194800
  -0.728175,    0.222802
  -0.396736,    0.251009
  -0.062606,    0.279445
   0.273948,    0.308088
   0.612946,    0.336939
   0.954406,    0.365999
   1.298346,    0.395270
   1.645132,    0.424784
   1.994432,    0.454511
   2.346258,    0.484454
   2.700622,    0.514612
   3.057724,    0.545004
   3.443450,    0.577831
   3.979741,    0.623473
   4.515770,    0.669092
   5.051509,    0.714686
   5.586931,    0.760254
