alpha, CL
  -4.861573,   -0.413748
  -4.568197,   -0.388780
  -4.272887,   -0.363647
  -3.975611,   -0.338348
  -3.676236,   -0.312869
  -3.374645,   -0.287202
  -3.070986,   -0.261359
  -2.765228,   -0.235337
  -2.457341,   -0.209134
  -2.147222,   -0.182741
  -1.834670,   -0.156141
  -1.519889,   -0.129351
  -1.202849,   -0.102369
  -0.883520,   -0.075193
  -0.561845,   -0.047816
  -0.237522,   -0.020215
   0.089180,    0.007590
   0.418288,    0.035599
   0.749828,    0.063815
   1.083824,    0.092240
   1.420639,    0.120905
   1.759978,    0.149784
   2.101848,    0.178879
   2.446271,    0.208192
   2.793473,    0.237741
   3.170883,    0.269861
   3.708025,    0.315575
   4.245073,    0.361280
   4.781991,    0.406975
   5.318747,    0.452656
