alpha, CL
  -4.861573,   -0.698522
  -4.568197,   -0.673554
  -4.272887,   -0.648421
  -3.975611,   -0.623121
  -3.676236,   -0.597643
  -3.374645,   -0.571975
  -3.070986,   -0.546132
  -2.765228,   -0.520110
  -2.457341,   -0.493907
  -2.147222,   -0.467515
  -1.834670,   -0.440915
  -1.519889,   -0.414125
  -1.202849,   -0.387143
  -0.883520,   -0.359966
  -0.561845,   -0.332590
  -0.237522,   -0.304988
   0.089180,   -0.277184
   0.418288,   -0.249175
   0.749828,   -0.220959
   1.083824,   -0.192534
   1.420639,   -0.163869
   1.759978,   -0.134989
   2.101848,   -0.105894
   2.446271,   -0.076582
   2.793473,   -0.047033
   3.170883,   -0.014913
   3.708025,    0.030801
   4.245073,    0.076507
   4.781991,    0.122202
   5.318747,    0.167883
