alpha, CL
  -4.825317,   -1.268391
  -4.523414,   -1.242698
  -4.219461,   -1.216830
  -3.913428,   -1.190784
  -3.605167,   -1.164549
  -3.294586,   -1.138117
  -2.981835,   -1.111500
  -2.666886,   -1.084696
  -2.349713,   -1.057703
  -2.030203,   -1.030511
  -1.708180,   -1.003105
  -1.383850,   -0.975503
  -1.057190,   -0.947702
  -0.728175,   -0.919701
  -0.396736,   -0.891493
  -0.062606,   -0.863057
   0.273948,   -0.834414
   0.612946,   -0.805564
   0.954406,   -0.776503
   1.298346,   -0.747232
   1.645132,   -0.717719
   1.994432,   -0.687991
   2.346258,   -0.658049
   2.700622,   -0.627890
   3.057724,   -0.597499
   3.443450,   -0.564671
   3.979741,   -0.519030
   4.515770,   -0.473411
   5.051509,   -0.427816
   5.586931,   -0.382249
