alpha, CL
  -4.861573,   -0.968118
  -4.568197,   -0.943150
  -4.272887,   -0.918018
  -3.975611,   -0.892718
  -3.676236,   -0.867239
  -3.374645,   -0.841572
  -3.070986,   -0.815729
  -2.765228,   -0.789707
  -2.457341,   -0.763504
  -2.147222,   -0.737111
  -1.834670,   -0.710511
  -1.519889,   -0.683722
  -1.202849,   -0.656740
  -0.883520,   -0.629563
  -0.561845,   -0.602187
  -0.237522,   -0.574585
   0.089180,   -0.546781
   0.418288,   -0.518772
   0.749828,   -0.490556
   1.083824,   -0.462131
   1.420639,   -0.433466
   1.759978,   -0.404586
   2.101848,   -0.375491
   2.446271,   -0.346178
   2.793473,   -0.316629
   3.170883,   -0.284510
   3.708025,   -0.238796
   4.245073,   -0.193090
   4.781991,   -0.147395
   5.318747,   -0.101714
