alpha, CL
  -4.861573,   -1.443023
  -4.568197,   -1.418055
  -4.272887,   -1.392922
  -3.975611,   -1.367622
  -3.676236,   -1.342144
  -3.374645,   -1.316477
  -3.070986,   -1.290633
  -2.765228,   -1.264612
  -2.457341,   -1.238409
  -2.147222,   -1.212016
  -1.834670,   -1.185416
  -1.519889,   -1.158626
  -1.202849,   -1.131644
  -0.883520,   -1.104467
  -0.561845,   -1.077091
  -0.237522,   -1.049489
   0.089180,   -1.021685
   0.418288,   -0.993676
   0.749828,   -0.965460
   1.083824,   -0.937035
   1.420639,   -0.908370
   1.759978,   -0.879490
   2.101848,   -0.850395
   2.446271,   -0.821083
   2.793473,   -0.791534
   3.170883,   -0.759414
   3.708025,   -0.713700
   4.245073,   -0.667994
   4.781991,   -0.622299
   5.318747,   -0.576618
