alpha, CL
  -4.861573,   -1.175512
  -4.568197,   -1.150544
  -4.272887,   -1.125412
  -3.975611,   -1.100112
  -3.676236,   -1.074633
  -3.374645,   -1.048966
  -3.070986,   -1.023123
  -2.765228,   -0.997101
  -2.457341,   -0.970898
  -2.147222,   -0.944505
  -1.834670,   -0.917905
  -1.519889,   -0.891116
  -1.202849,   -0.864134
  -0.883520,   -0.836957
  -0.561845,   -0.809581
  -0.237522,   -0.781979
   0.089180,   -0.754175
   0.418288,   -0.726166
   0.749828,   -0.697950
   1.083824,   -0.669525
   1.420639,   -0.640860
   1.759978,   -0.611980
   2.101848,   -0.582885
   2.446271,   -0.553572
   2.793473,   -0.524024
   3.170883,   -0.491904
   3.708025,   -0.446190
   4.245073,   -0.400484
   4.781991,   -0.354789
   5.318747,   -0.309108
