alpha, CL
  -4.861573,   -1.217162
  -4.568197,   -1.192194
  -4.272887,   -1.167061
  -3.975611,   -1.141761
  -3.676236,   -1.116283
  -3.374645,   -1.090615
  -3.070986,   -1.064772
  -2.765228,   -1.038750
  -2.457341,   -1.012547
  -2.147222,   -0.986155
  -1.834670,   -0.959555
  -1.519889,   -0.932765
  -1.202849,   -0.905783
  -0.883520,   -0.878606
  -0.561845,   -0.851230
  -0.237522,   -0.823628
   0.089180,   -0.795824
   0.418288,   -0.767815
   0.749828,   -0.739599
   1.083824,   -0.711174
   1.420639,   -0.682509
   1.759978,   -0.653629
   2.101848,   -0.624534
   2.446271,   -0.595222
   2.793473,   -0.565673
   3.170883,   -0.533553
   3.708025,   -0.487839
   4.245073,   -0.442133
   4.781991,   -0.396438
   5.318747,   -0.350757
