eta, additional load
   0.000000, 8572.199030
   0.020408, 8493.216101
   0.040816, 8467.491393
   0.061224, 8430.063059
   0.081633, 8382.966361
   0.102041, 8327.578739
   0.122449, 8264.943903
   0.142857, 8195.905050
   0.163265, 8121.176818
   0.183673, 8041.391745
   0.204082, 7957.136069
   0.224490, 7868.984322
   0.244898, 7777.543612
   0.265306, 7683.531540
   0.285714, 7585.404275
   0.306122, 7486.946557
   0.326531, 7398.523270
   0.346939, 7304.460750
   0.367347, 7209.436539
   0.387755, 7113.088006
   0.408163, 7015.217955
   0.428571, 6915.706516
   0.448980, 6814.471889
   0.469388, 6711.449584
   0.489796, 6606.580235
   0.510204, 6499.784843
   0.530612, 6390.988171
   0.551020, 6280.119626
   0.571429, 6167.073893
   0.591837, 6051.721083
   0.612245, 5933.900410
   0.632653, 5813.412428
   0.653061, 5690.009203
   0.673469, 5563.381589
   0.693878, 5433.142434
   0.714286, 5298.804065
   0.734694, 5159.747579
   0.755102, 5015.180209
   0.775510, 4864.075009
   0.795918, 4705.083584
   0.816327, 4536.406629
   0.836735, 4355.595991
   0.857143, 4159.240950
   0.877551, 3942.448140
   0.897959, 3697.928304
   0.918367, 3414.263478
   0.938776, 3072.232445
   0.959184, 2635.521915
   0.979592, 2018.201144
   1.000000,    0.000000
