eta, additional load
   0.000000, 2013.264847
   0.020408, 1994.714933
   0.040816, 1988.673234
   0.061224, 1979.882823
   0.081633, 1968.821703
   0.102041, 1955.813378
   0.122449, 1941.102973
   0.142857, 1924.888523
   0.163265, 1907.337866
   0.183673, 1888.599561
   0.204082, 1868.811291
   0.224490, 1848.107990
   0.244898, 1826.632244
   0.265306, 1804.552589
   0.285714, 1781.506440
   0.306122, 1758.382682
   0.326531, 1737.615607
   0.346939, 1715.524104
   0.367347, 1693.206738
   0.387755, 1670.578341
   0.408163, 1647.592602
   0.428571, 1624.221367
   0.448980, 1600.445424
   0.469388, 1576.249627
   0.489796, 1551.620034
   0.510204, 1526.538091
   0.530612, 1500.986127
   0.551020, 1474.947564
   0.571429, 1448.397667
   0.591837, 1421.305931
   0.612245, 1393.634593
   0.632653, 1365.336811
   0.653061, 1336.354356
   0.673469, 1306.614621
   0.693878, 1276.026680
   0.714286, 1244.476000
   0.734694, 1211.817223
   0.755102, 1177.864161
   0.775510, 1142.375626
   0.795918, 1105.034933
   0.816327, 1065.419499
   0.836735, 1022.954351
   0.857143,  976.838448
   0.877551,  925.922534
   0.897959,  868.494658
   0.918367,  801.873197
   0.938776,  721.543861
   0.959184,  618.978118
   0.979592,  473.994293
   1.000000,    0.000000
