eta, additional load
   0.000000, 34807.935761
   0.020408, 34487.220772
   0.040816, 34382.764029
   0.061224, 34230.784003
   0.081633, 34039.544996
   0.102041, 33814.640184
   0.122449, 33560.307620
   0.142857, 33279.971156
   0.163265, 32976.532627
   0.183673, 32652.560483
   0.204082, 32310.435181
   0.224490, 31952.489650
   0.244898, 31581.189081
   0.265306, 31199.447342
   0.285714, 30800.995615
   0.306122, 30401.202058
   0.326531, 30042.153920
   0.346939, 29660.207337
   0.367347, 29274.355745
   0.387755, 28883.126663
   0.408163, 28485.719367
   0.428571, 28081.647115
   0.448980, 27670.577751
   0.469388, 27252.249414
   0.489796, 26826.421041
   0.510204, 26392.771853
   0.530612, 25950.996347
   0.551020, 25500.807874
   0.571429, 25041.778794
   0.591837, 24573.381690
   0.612245, 24094.963678
   0.632653, 23605.714896
   0.653061, 23104.628595
   0.673469, 22590.449461
   0.693878, 22061.605447
   0.714286, 21516.116327
   0.734694, 20951.469002
   0.755102, 20364.444402
   0.775510, 19750.872541
   0.795918, 19105.278187
   0.816327, 18420.355146
   0.836735, 17686.162551
   0.857143, 16888.850959
   0.877551, 16008.550560
   0.897959, 15015.662888
   0.918367, 13863.824605
   0.938776, 12474.986782
   0.959184, 10701.697102
   0.979592, 8195.028549
   1.000000,    0.000000
