alpha_b, CD
  -4.000000,    0.007273
  -3.517241,    0.007138
  -3.034483,    0.007012
  -2.551724,    0.006897
  -2.068966,    0.006797
  -1.586207,    0.006714
  -1.103448,    0.006650
  -0.620690,    0.006608
  -0.137931,    0.006588
   0.344828,    0.006594
   0.827586,    0.006626
   1.310345,    0.006687
   1.793103,    0.006778
   2.275862,    0.006901
   2.758621,    0.007058
   3.241379,    0.007250
   3.724138,    0.007478
   4.206897,    0.007746
   4.689655,    0.008053
   5.172414,    0.008403
   5.655172,    0.008796
   6.137931,    0.009235
   6.620690,    0.009722
   7.103448,    0.010258
   7.586207,    0.010845
   8.068966,    0.011485
   8.551724,    0.012180
   9.034483,    0.012933
   9.517241,    0.013744
  10.000000,    0.014616
