Time, Angular Velocity
 108.350803,   -0.003922
 108.850803,   -0.003406
 109.350803,   -0.002171
 109.850803,   -0.003036
 110.350803,   -0.009384
 110.850803,   -0.011832
 111.350803,   -0.006999
 111.850803,   -0.003795
 112.350803,   -0.003226
 112.850803,   -0.002389
 113.350803,   -0.001119
 113.850803,   -0.000102
 114.350803,   -0.002547
 114.850803,   -0.004330
 115.350803,   -0.004290
 115.850803,   -0.003760
 116.350803,   -0.003235
 116.850803,   -0.002716
 117.350803,    0.026267
 117.850803,   -0.003592
 118.350803,   -0.003087
 118.850803,   -0.035344
 119.350803,   -0.003914
 119.850803,   -0.003385
 120.350803,   -0.000096
 120.357515,   -0.000021
