eta, D
   0.000000,  739.154054
   0.020408,  737.990654
   0.040816,  737.558905
   0.061224,  736.524381
   0.081633,  735.071398
   0.102041,  733.267531
   0.122449,  731.146121
   0.142857,  728.726805
   0.163265,  726.022631
   0.183673,  723.042995
   0.204082,  719.794992
   0.224490,  716.284078
   0.244898,  712.514414
   0.265306,  708.489035
   0.285714,  704.209954
   0.306122,  699.678197
   0.326531,  694.893832
   0.346939,  689.855963
   0.367347,  684.562734
   0.387755,  679.011327
   0.408163,  673.197998
   0.428571,  667.118215
   0.448980,  660.767143
   0.469388,  654.141795
   0.489796,  647.262155
   0.510204,  640.017639
   0.530612,  632.384691
   0.551020,  624.449243
   0.571429,  616.165716
   0.591837,  607.508038
   0.612245,  598.449524
   0.632653,  588.960348
   0.653061,  579.006397
   0.673469,  568.548289
   0.693878,  557.540316
   0.714286,  545.929198
   0.734694,  533.652579
   0.755102,  520.637199
   0.775510,  506.833894
   0.795918,  492.112941
   0.816327,  476.350295
   0.836735,  459.406287
   0.857143,  441.122202
   0.877551,  421.391743
   0.897959,  400.081536
   0.918367,  377.257446
   0.938776,  354.119148
   0.959184,  337.291226
   0.979592,  404.848366
   1.000000,  101.004357
