eta, D
   0.000000,  184.913893
   0.020408,  183.675008
   0.040816,  182.464368
   0.061224,  181.233520
   0.081633,  179.985803
   0.102041,  178.723927
   0.122449,  177.449227
   0.142857,  176.162490
   0.163265,  174.864239
   0.183673,  173.554851
   0.204082,  172.234610
   0.224490,  170.903736
   0.244898,  169.562394
   0.265306,  168.210707
   0.285714,  166.848754
   0.306122,  165.476576
   0.326531,  164.094175
   0.346939,  162.701513
   0.367347,  161.298515
   0.387755,  159.885066
   0.408163,  158.461014
   0.428571,  157.026173
   0.448980,  155.580347
   0.469388,  154.123412
   0.489796,  152.656165
   0.510204,  151.174166
   0.530612,  149.676465
   0.551020,  148.166501
   0.571429,  146.642437
   0.591837,  145.103221
   0.612245,  143.547770
   0.632653,  141.974877
   0.653061,  140.383159
   0.673469,  138.771022
   0.693878,  137.136722
   0.714286,  135.483645
   0.734694,  133.804283
   0.755102,  132.095746
   0.775510,  130.354631
   0.795918,  128.576919
   0.816327,  126.757877
   0.836735,  124.891978
   0.857143,  122.972954
   0.877551,  120.994284
   0.897959,  118.951146
   0.918367,  116.847753
   0.938776,  114.728529
   0.959184,  112.861027
   0.979592,  114.386051
   1.000000,  101.004357
