Ground distance, CD
24320.516559,    0.159430
24439.008196,    0.159692
24557.499905,    0.159692
24675.991498,    0.159692
24794.483407,    0.159953
24912.975214,    0.159953
25031.467026,    0.159953
25149.959131,    0.160215
25268.451032,    0.160215
25386.943058,    0.160215
25505.435276,    0.160477
25623.927310,    0.160477
25742.419596,    0.160739
25860.911870,    0.160739
25979.404038,    0.160739
26097.896526,    0.161000
26216.388909,    0.161000
26246.719160,    0.161000
