Ground Roll Distance, Acceleration
 339.181251,   -0.506217
 347.213110,   -0.505543
 402.976686,   -0.500886
 414.069147,   -0.499965
 425.141609,   -0.499047
 436.194109,   -0.498132
 447.226684,   -0.497221
 449.430811,   -0.497039
 449.499734,   -0.497033
 449.535457,   -0.497030
 449.552641,   -0.497029
 449.559808,   -0.497028
 449.561724,   -0.497028
 449.562724,   -1.312629
 449.563637,   -1.312631
 449.572763,   -1.312651
 449.664024,   -1.312858
 450.576435,   -1.314919
 459.680612,   -1.335670
 513.839724,   -1.466063
 566.532050,   -1.605130
 617.618549,   -1.752543
 666.951855,   -1.907732
 714.376851,   -2.069859
 759.731504,   -2.237781
 802.848013,   -2.410032
 843.554278,   -2.584805
 881.675706,   -2.759955
 917.037352,   -2.933018
 949.466381,   -3.101253
 978.794807,   -3.261696
1004.862442,   -3.411256
1027.519989,   -3.546811
1046.632145,   -3.665334
1062.080622,   -3.764026
1073.766930,   -3.840444
1081.614816,   -3.892632
1085.411016,   -3.918130
1086.082863,   -3.922660
