alpha_b, CM
  -4.000000,   -0.162655
  -3.794872,   -0.165509
  -3.589744,   -0.166172
  -3.384615,   -0.165329
  -3.179487,   -0.167092
  -2.974359,   -0.171148
  -2.769231,   -0.175139
  -2.564103,   -0.178967
  -2.358974,   -0.182349
  -2.153846,   -0.185577
  -1.948718,   -0.188530
  -1.743590,   -0.191345
  -1.538462,   -0.194149
  -1.333333,   -0.196892
  -1.128205,   -0.199453
  -0.923077,   -0.201970
  -0.717949,   -0.204332
  -0.512821,   -0.206781
  -0.307692,   -0.209019
  -0.102564,   -0.211297
   0.102564,   -0.213377
   0.307692,   -0.215381
   0.512821,   -0.217434
   0.717949,   -0.219275
   0.923077,   -0.221036
   1.128205,   -0.222783
   1.333333,   -0.224745
   1.538462,   -0.226690
   1.743590,   -0.228619
   1.948718,   -0.230648
   2.153846,   -0.232889
   2.358974,   -0.235318
   2.564103,   -0.237860
   2.769231,   -0.240524
   2.974359,   -0.243283
   3.179487,   -0.246026
   3.384615,   -0.248795
   3.589744,   -0.251301
   3.794872,   -0.253735
   4.000000,   -0.256122
