alpha_b, CM
  -4.000000,   -0.164404
  -3.794872,   -0.167342
  -3.589744,   -0.168080
  -3.384615,   -0.167300
  -3.179487,   -0.169109
  -2.974359,   -0.173197
  -2.769231,   -0.177206
  -2.564103,   -0.181045
  -2.358974,   -0.184430
  -2.153846,   -0.187651
  -1.948718,   -0.190587
  -1.743590,   -0.193374
  -1.538462,   -0.196140
  -1.333333,   -0.198833
  -1.128205,   -0.201334
  -0.923077,   -0.203781
  -0.717949,   -0.206065
  -0.512821,   -0.208427
  -0.307692,   -0.210567
  -0.102564,   -0.212737
   0.102564,   -0.214697
   0.307692,   -0.216571
   0.512821,   -0.218484
   0.717949,   -0.220175
   0.923077,   -0.221775
   1.128205,   -0.223350
   1.333333,   -0.225129
   1.538462,   -0.226881
   1.743590,   -0.228607
   1.948718,   -0.230424
   2.153846,   -0.232441
   2.358974,   -0.234638
   2.564103,   -0.236936
   2.769231,   -0.239346
   2.974359,   -0.241842
   3.179487,   -0.244311
   3.384615,   -0.246800
   3.589744,   -0.249020
   3.794872,   -0.251159
   4.000000,   -0.253247
