alpha_b, CM
  -4.000000,    0.375096
  -3.794872,    0.366488
  -3.589744,    0.358617
  -3.384615,    0.351208
  -3.179487,    0.343825
  -2.974359,    0.336455
  -2.769231,    0.329111
  -2.564103,    0.321779
  -2.358974,    0.314474
  -2.153846,    0.307179
  -1.948718,    0.299914
  -1.743590,    0.292657
  -1.538462,    0.285432
  -1.333333,    0.278218
  -1.128205,    0.271036
  -0.923077,    0.263860
  -0.717949,    0.256717
  -0.512821,    0.249578
  -0.307692,    0.242476
  -0.102564,    0.235382
   0.102564,    0.228321
   0.307692,    0.221264
   0.512821,    0.214248
   0.717949,    0.207233
   0.923077,    0.200259
   1.128205,    0.193288
   1.333333,    0.186359
   1.538462,    0.179435
   1.743590,    0.172555
   1.948718,    0.165650
   2.153846,    0.158752
   2.358974,    0.151845
   2.564103,    0.144974
   2.769231,    0.138105
   2.974359,    0.131269
   3.179487,    0.124435
   3.384615,    0.117633
   3.589744,    0.110835
   3.794872,    0.104066
   4.000000,    0.096541
