*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .9125E-01
  -8.000    ,    .3339E-01
  -6.000    ,    .2405E-01
  -4.000    ,    .1760E-01
  -2.000    ,    .1379E-01
    .000    ,    .1268E-01
   2.000    ,    .1424E-01
   4.000    ,    .1841E-01
   8.000    ,    .3522E-01
   9.000    ,    .4120E-01
   10.00    ,    .4776E-01
   12.00    ,    .6094E-01
   14.00    ,    .7372E-01
   16.00    ,    .8613E-01
   18.00    ,    .9557E-01
   19.00    ,    .1016    
   20.00    ,    .1091    
   21.00    ,    .1137    
   22.00    ,    .1140    
   24.00    ,    .1152    

Alpha, CL
  -16.00    ,   -1.066    
  -8.000    ,   -.5495    
  -6.000    ,   -.4018    
  -4.000    ,   -.2535    
  -2.000    ,   -.1069    
    .000    ,    .3758E-01
   2.000    ,    .1833    
   4.000    ,    .3303    
   8.000    ,    .6255    
   9.000    ,    .6988    
   10.00    ,    .7715    
   12.00    ,    .8969    
   14.00    ,    .9977    
   16.00    ,    1.075    
   18.00    ,    1.115    
   19.00    ,    1.138    
   20.00    ,    1.170    
   21.00    ,    1.180    
   22.00    ,    1.151    
   24.00    ,    1.089    

Alpha, Cm
  -16.00    ,    .7548    
  -8.000    ,    .4141    
  -6.000    ,    .3260    
  -4.000    ,    .2416    
  -2.000    ,    .1597    
    .000    ,    .8074E-01
   2.000    ,    .2179E-02
   4.000    ,   -.7615E-01
   8.000    ,   -.2373    
   9.000    ,   -.2785    
   10.00    ,   -.3201    
   12.00    ,   -.3961    
   14.00    ,   -.4676    
   16.00    ,   -.5352    
   18.00    ,   -.5705    
   19.00    ,   -.6127    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cyb
  -16.00    ,   -.9548    
  -8.000    ,   -.9548    
  -6.000    ,   -.9548    
  -4.000    ,   -.9548    
  -2.000    ,   -.9548    
    .000    ,   -.9548    
   2.000    ,   -.9548    
   4.000    ,   -.9548    
   8.000    ,   -.9548    
   9.000    ,   -.9548    
   10.00    ,   -.9548    
   12.00    ,   -.9548    
   14.00    ,   -.9548    
   16.00    ,   -.9548    
   18.00    ,   -.9548    
   19.00    ,   -.9548    
   20.00    ,   -.9548    
   21.00    ,   -.9548    
   22.00    ,   -.9548    
   24.00    ,   -.9548    

Alpha, Cnb
  -16.00    ,    .1786    
  -8.000    ,    .1786    
  -6.000    ,    .1786    
  -4.000    ,    .1786    
  -2.000    ,    .1786    
    .000    ,    .1786    
   2.000    ,    .1786    
   4.000    ,    .1786    
   8.000    ,    .1786    
   9.000    ,    .1786    
   10.00    ,    .1786    
   12.00    ,    .1786    
   14.00    ,    .1786    
   16.00    ,    .1786    
   18.00    ,    .1786    
   19.00    ,    .1786    
   20.00    ,    .1786    
   21.00    ,    .1786    
   22.00    ,    .1786    
   24.00    ,    .1786    

Alpha, Clb
  -16.00    ,   -.1296    
  -8.000    ,   -.1339    
  -6.000    ,   -.1360    
  -4.000    ,   -.1380    
  -2.000    ,   -.1395    
    .000    ,   -.1408    
   2.000    ,   -.1419    
   4.000    ,   -.1431    
   8.000    ,   -.1452    
   9.000    ,   -.1456    
   10.00    ,   -.1459    
   12.00    ,   -.1448    
   14.00    ,   -.1415    
   16.00    ,   -.1358    
   18.00    ,   -.1271    
   19.00    ,   -.1222    
   20.00    ,   -.1179    
   21.00    ,   -.1119    
   22.00    ,   -.1023    
   24.00    ,   -.8282E-01

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    1.000    
  -6.000    ,    1.000    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    .9450    
   19.00    ,    .9729    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    1.000    

Alpha, Epslon
  -16.00    ,   -5.138    
  -8.000    ,   -2.640    
  -6.000    ,   -1.904    
  -4.000    ,   -1.149    
  -2.000    ,   -.3849    
    .000    ,    .3877    
   2.000    ,    1.176    
   4.000    ,    1.982    
   8.000    ,    3.629    
   9.000    ,    4.045    
   10.00    ,    4.455    
   12.00    ,    5.202    
   14.00    ,    5.843    
   16.00    ,    6.424    
   18.00    ,    6.928    
   19.00    ,    7.190    
   20.00    ,    7.409    
   21.00    ,    7.634    
   22.00    ,    7.551    
   24.00    ,    7.033    

Alpha, d_Epslon
  -16.00    ,    .3122    
  -8.000    ,    .3570    
  -6.000    ,    .3727    
  -4.000    ,    .3798    
  -2.000    ,    .3843    
    .000    ,    .3903    
   2.000    ,    .3986    
   4.000    ,    .4058    
   8.000    ,    .4152    
   9.000    ,    .4127    
   10.00    ,    .3974    
   12.00    ,    .3471    
   14.00    ,    .3055    
   16.00    ,    .2714    
   18.00    ,    .2583    
   19.00    ,    .2403    
   20.00    ,    .2223    
   21.00    ,    .7117E-01
   22.00    ,   -.1417    
   24.00    ,   -.2595    

Alpha, CLq
  -16.00    ,    9.127    
  -8.000    ,    9.127    
  -6.000    ,    9.127    
  -4.000    ,    9.127    
  -2.000    ,    9.127    
    .000    ,    9.127    
   2.000    ,    9.127    
   4.000    ,    9.127    
   8.000    ,    9.127    
   9.000    ,    9.127    
   10.00    ,    9.127    
   12.00    ,    9.127    
   14.00    ,    9.127    
   16.00    ,    9.127    
   18.00    ,    9.127    
   19.00    ,    9.127    
   20.00    ,    9.127    
   21.00    ,    9.127    
   22.00    ,    9.127    
   24.00    ,    9.127    

Alpha, Cmq
  -16.00    ,   -17.05    
  -8.000    ,   -17.05    
  -6.000    ,   -17.05    
  -4.000    ,   -17.05    
  -2.000    ,   -17.05    
    .000    ,   -17.05    
   2.000    ,   -17.05    
   4.000    ,   -17.05    
   8.000    ,   -17.05    
   9.000    ,   -17.05    
   10.00    ,   -17.05    
   12.00    ,   -17.05    
   14.00    ,   -17.05    
   16.00    ,   -17.05    
   18.00    ,   -17.05    
   19.00    ,   -17.05    
   20.00    ,   -17.05    
   21.00    ,   -17.05    
   22.00    ,   -17.05    
   24.00    ,   -17.05    

Alpha, CLad_Basic
  -16.00    ,    1.604    
  -8.000    ,    1.834    
  -6.000    ,    1.914    
  -4.000    ,    1.951    
  -2.000    ,    1.974    
    .000    ,    2.005    
   2.000    ,    2.047    
   4.000    ,    2.085    
   8.000    ,    2.132    
   9.000    ,    2.120    
   10.00    ,    2.041    
   12.00    ,    1.783    
   14.00    ,    1.569    
   16.00    ,    1.394    
   18.00    ,    1.254    
   19.00    ,    1.201    
   20.00    ,    1.142    
   21.00    ,    .3655    
   22.00    ,   -.7280    
   24.00    ,   -1.333    

Alpha, Cmad_Basic
  -16.00    ,   -4.904    
  -8.000    ,   -5.608    
  -6.000    ,   -5.854    
  -4.000    ,   -5.965    
  -2.000    ,   -6.036    
    .000    ,   -6.131    
   2.000    ,   -6.261    
   4.000    ,   -6.375    
   8.000    ,   -6.521    
   9.000    ,   -6.482    
   10.00    ,   -6.242    
   12.00    ,   -5.451    
   14.00    ,   -4.798    
   16.00    ,   -4.262    
   18.00    ,   -3.833    
   19.00    ,   -3.673    
   20.00    ,   -3.492    
   21.00    ,   -1.118    
   22.00    ,    2.226    
   24.00    ,    4.075    

Alpha, Clp
  -16.00    ,   -.3119    
  -8.000    ,   -.3647    
  -6.000    ,   -.3678    
  -4.000    ,   -.3590    
  -2.000    ,   -.3489    
    .000    ,   -.3440    
   2.000    ,   -.3446    
   4.000    ,   -.3437    
   8.000    ,   -.3370    
   9.000    ,   -.3343    
   10.00    ,   -.3132    
   12.00    ,   -.2392    
   14.00    ,   -.1702    
   16.00    ,   -.9704E-01
   18.00    ,   -.4128E-01
   19.00    ,   -.6084E-01
   20.00    ,   -.2533E-01
   21.00    ,    .1628    
   22.00    ,    .2733    
   24.00    ,    .2146    

Alpha, Cyp
  -16.00    ,   -.2706    
  -8.000    ,   -.1387    
  -6.000    ,   -.1023    
  -4.000    ,   -.6590E-01
  -2.000    ,   -.2925E-01
    .000    ,    .7578E-02
   2.000    ,    .4495E-01
   4.000    ,    .8284E-01
   8.000    ,    .1596    
   9.000    ,    .1790    
   10.00    ,    .1989    
   12.00    ,    .2376    
   14.00    ,    .2741    
   16.00    ,    .3085    
   18.00    ,    .3392    
   19.00    ,    .3508    
   20.00    ,    .3677    
   21.00    ,    .4107    
   22.00    ,    .9475    
   24.00    ,    .8120    

Alpha, Cnp
  -16.00    ,    .1351    
  -8.000    ,    .7071E-01
  -6.000    ,    .5196E-01
  -4.000    ,    .3341E-01
  -2.000    ,    .1441E-01
    .000    ,   -.4986E-02
   2.000    ,   -.2495E-01
   4.000    ,   -.4547E-01
   8.000    ,   -.8790E-01
   9.000    ,   -.9876E-01
   10.00    ,   -.1109    
   12.00    ,   -.1364    
   14.00    ,   -.1603    
   16.00    ,   -.1827    
   18.00    ,   -.2012    
   19.00    ,   -.2065    
   20.00    ,   -.2170    
   21.00    ,   -.2333    
   22.00    ,   -.1650    
   24.00    ,   -.1951    

Alpha, Cnr
  -16.00    ,   -.1892    
  -8.000    ,   -.2377    
  -6.000    ,   -.2488    
  -4.000    ,   -.2593    
  -2.000    ,   -.2692    
