alpha, CM
  -4.000000,   -0.328959
  -3.172414,   -0.328959
  -2.344828,   -0.328960
  -1.517241,   -0.328961
  -0.689655,   -0.328962
   0.137931,   -0.328522
   0.965517,   -0.328566
   1.793103,   -0.328610
   2.620690,   -0.328655
   3.448276,   -0.328699
   4.275862,   -0.328743
   5.103448,   -0.328787
   5.931034,   -0.328831
   6.758621,   -0.328875
   7.586207,   -0.328920
   8.413793,   -0.328964
   9.241379,   -0.329008
  10.068966,   -0.329052
  10.896552,   -0.329096
  11.724138,   -0.329140
  12.551724,   -0.329185
  13.379310,   -0.329229
  14.206897,   -0.329273
  15.034483,   -0.329317
  15.862069,   -0.329361
  16.689655,   -0.329405
  17.517241,   -0.329450
  18.344828,   -0.329494
  19.172414,   -0.329538
  20.000000,   -0.329582
