Speed (CAS), Climb Angle
  62.744402,    2.131798
  63.554292,    2.119076
  64.364181,    2.103200
  65.174071,    2.084280
  65.983961,    2.062434
  66.793850,    2.037785
  67.603740,    2.010462
  68.413629,    1.980602
  69.223519,    1.947970
  70.033409,    1.912838
  70.843298,    1.875473
  71.653188,    1.839799
  72.463077,    1.806076
  73.272967,    1.769721
  74.082857,    1.731426
  74.892746,    1.691593
  75.702636,    1.649589
  76.512526,    1.605604
  77.322415,    1.560492
  78.132305,    1.512847
  78.942194,    1.464058
  79.752084,    1.413553
  80.561974,    1.361351
  81.371863,    1.307975
  82.181753,    1.252645
  82.991642,    1.197339
  83.801532,    1.144608
  84.611422,    1.090904
  85.421311,    1.035669
  86.231201,    0.979098
  87.041091,    0.921697
  87.850980,    0.862271
  88.660870,    0.802612
  89.470759,    0.740804
  90.280649,    0.678287
  91.090539,    0.615097
  91.900428,    0.549750
  92.710318,    0.484127
  93.520207,    0.417434
  94.330097,    0.348994
  95.139987,    0.283577
  95.949876,    0.217784
  96.759766,    0.150134
  97.569655,    0.082169
  98.379545,    0.013889
  99.189435,   -0.056786
  99.999324,   -0.127852
 100.809214,   -0.199252
 101.619104,   -0.271709
 102.428993,   -0.345856
 103.238883,   -0.420354
 104.048772,   -0.495203
 104.858662,   -0.571155
 105.668552,   -0.648721
 106.478441,   -0.725139
 107.288331,   -0.800610
 108.098220,   -0.876448
 108.908110,   -0.954574
 109.718000,   -1.033104
 110.527889,   -1.112017
 111.337779,   -1.191313
 112.147668,   -1.271206
 112.957558,   -1.353142
 113.767448,   -1.435475
 114.577337,   -1.518206
 115.387227,   -1.601335
 116.197117,   -1.684862
 117.007006,   -1.769964
 117.816896,   -1.855317
 118.626785,   -1.938259
 119.436675,   -2.021613
 120.246565,   -2.105378
 121.056454,   -2.189555
 121.866344,   -2.274972
 122.676233,   -2.361705
 123.486123,   -2.448862
 124.296013,   -2.536444
 125.105902,   -2.624452
 125.915792,   -2.712885
 126.725681,   -2.801744
 127.535571,   -2.891723
 128.345461,   -2.983085
 129.155350,   -3.074886
 129.965240,   -3.165983
 130.775130,   -3.257386
 131.585019,   -3.349229
 132.394909,   -3.441510
 133.204798,   -3.534230
 134.014688,   -3.627775
 134.824578,   -3.722942
 135.634467,   -3.818560
 136.444357,   -3.914628
 137.254246,   -4.011147
 138.064136,   -4.108118
 138.874026,   -4.205541
 139.683915,   -4.303416
 140.493805,   -4.401744
 141.303694,   -4.500433
 142.113584,   -4.600430
 142.923474,   -4.701445
