alpha body, Epsilon
  -4.000000,    0.825317
  -3.517241,    1.006173
  -3.034483,    1.184978
  -2.551724,    1.361704
  -2.068966,    1.536201
  -1.586207,    1.708379
  -1.103448,    1.878386
  -0.620690,    2.046196
  -0.137931,    2.211782
   0.344828,    2.375030
   0.827586,    2.535766
   1.310345,    2.694195
   1.793103,    2.850293
   2.275862,    3.004037
   2.758621,    3.155357
   3.241379,    3.303985
   3.724138,    3.450190
   4.206897,    3.593951
   4.689655,    3.735250
   5.172414,    3.874067
   5.655172,    4.010040
   6.137931,    4.143499
   6.620690,    4.274432
   7.103448,    4.402826
   7.586207,    4.528483
   8.068966,    4.625516
   8.551724,    4.571983
   9.034483,    4.518713
   9.517241,    4.465732
  10.000000,    4.413069
