alpha body, Epsilon
  -4.000000,    0.056642
  -3.517241,    0.255338
  -3.034483,    0.454035
  -2.551724,    0.652731
  -2.068966,    0.851428
  -1.586207,    1.050124
  -1.103448,    1.248821
  -0.620690,    1.447517
  -0.137931,    1.646214
   0.344828,    1.844910
   0.827586,    2.043607
   1.310345,    2.242303
   1.793103,    2.441000
   2.275862,    2.639696
   2.758621,    2.838393
   3.241379,    3.037089
   3.724138,    3.235786
   4.206897,    3.434482
   4.689655,    3.633179
   5.172414,    3.831876
   5.655172,    4.030572
   6.137931,    4.229269
   6.620690,    4.427965
   7.103448,    4.626662
   7.586207,    4.825358
   8.068966,    5.024055
   8.551724,    5.222751
   9.034483,    5.421448
   9.517241,    5.620144
  10.000000,    5.818841
