eta, Cm
   0.000000,   -0.167192
   0.020408,   -0.166260
   0.040816,   -0.165337
   0.061224,   -0.164339
   0.081633,   -0.163267
   0.102041,   -0.162121
   0.122449,   -0.160900
   0.142857,   -0.159601
   0.163265,   -0.158223
   0.183673,   -0.156762
   0.204082,   -0.155216
   0.224490,   -0.153580
   0.244898,   -0.151850
   0.265306,   -0.150020
   0.285714,   -0.148086
   0.306122,   -0.146709
   0.326531,   -0.146854
   0.346939,   -0.147021
   0.367347,   -0.147205
   0.387755,   -0.147405
   0.408163,   -0.147623
   0.428571,   -0.147858
   0.448980,   -0.148112
   0.469388,   -0.148383
   0.489796,   -0.148674
   0.510204,   -0.148984
   0.530612,   -0.149314
   0.551020,   -0.149664
   0.571429,   -0.150034
   0.591837,   -0.150426
   0.612245,   -0.150839
   0.632653,   -0.151274
   0.653061,   -0.151732
   0.673469,   -0.152211
   0.693878,   -0.152712
   0.714286,   -0.153235
   0.734694,   -0.153778
   0.755102,   -0.154338
   0.775510,   -0.154914
   0.795918,   -0.155499
   0.816327,   -0.156087
   0.836735,   -0.156665
   0.857143,   -0.157216
   0.877551,   -0.157712
   0.897959,   -0.158111
   0.918367,   -0.158341
   0.938776,   -0.158278
   0.959184,   -0.157685
   0.979592,   -0.156015
   1.000000,    0.000000
