eta, Cm
   0.000000,   -0.159316
   0.020408,   -0.159046
   0.040816,   -0.158778
   0.061224,   -0.158488
   0.081633,   -0.158176
   0.102041,   -0.157844
   0.122449,   -0.157489
   0.142857,   -0.157113
   0.163265,   -0.156713
   0.183673,   -0.156291
   0.204082,   -0.155845
   0.224490,   -0.155375
   0.244898,   -0.154879
   0.265306,   -0.154356
   0.285714,   -0.153808
   0.306122,   -0.153365
   0.326531,   -0.153226
   0.346939,   -0.153094
   0.367347,   -0.152966
   0.387755,   -0.152842
   0.408163,   -0.152723
   0.428571,   -0.152607
   0.448980,   -0.152494
   0.469388,   -0.152385
   0.489796,   -0.152279
   0.510204,   -0.152176
   0.530612,   -0.152076
   0.551020,   -0.151979
   0.571429,   -0.151884
   0.591837,   -0.151792
   0.612245,   -0.151702
   0.632653,   -0.151614
   0.653061,   -0.151528
   0.673469,   -0.151443
   0.693878,   -0.151360
   0.714286,   -0.151278
   0.734694,   -0.151196
   0.755102,   -0.151114
   0.775510,   -0.151031
   0.795918,   -0.150945
   0.816327,   -0.150855
   0.836735,   -0.150758
   0.857143,   -0.150650
   0.877551,   -0.150525
   0.897959,   -0.150375
   0.918367,   -0.150185
   0.938776,   -0.149931
   0.959184,   -0.149567
   0.979592,   -0.148985
   1.000000,    0.000000
