Ground distance, CD
   0.000000,    0.069250
   0.684793,    0.069250
   1.542845,    0.069250
   3.483476,    0.069250
   5.733377,    0.069250
   9.052853,    0.069250
  12.677882,    0.069250
  17.359403,    0.069250
  22.342740,    0.069250
  28.369415,    0.069250
  34.694148,    0.069250
  42.049005,    0.069250
  49.698145,    0.069250
  58.364143,    0.069250
  67.320635,    0.069250
  77.280679,    0.069250
  87.527415,    0.069250
  98.764361,    0.069250
 110.284189,    0.069250
 122.780863,    0.069250
 135.556600,    0.069250
 149.295802,    0.069250
 163.310244,    0.069250
 178.274764,    0.069250
 193.510699,    0.069250
 209.683322,    0.069250
 226.123537,    0.069250
 243.487702,    0.069250
 261.115820,    0.069250
 279.656356,    0.069250
 298.457549,    0.069250
 318.159724,    0.069250
 338.119289,    0.069250
 358.968375,    0.069250
 380.071578,    0.069250
 402.052824,    0.069250
 424.284907,    0.069250
 447.383547,    0.069250
 470.729741,    0.069250
 494.930999,    0.069250
 519.376529,    0.069250
 544.665765,    0.069250
 570.196029,    0.069250
 596.559321,    0.069250
 623.160589,    0.069250
 650.584426,    0.069250
 678.243251,    0.069250
 706.714175,    0.069250
 735.417098,    0.069250
 764.921650,    0.069250
 794.655208,    0.069250
 825.179927,    0.069250
 855.930663,    0.069250
 887.462099,    0.069250
 919.216563,    0.069250
 951.741280,    0.069250
 984.486041,    0.069250
1010.304372,    0.069250
1044.161034,    0.070004
1078.479175,    0.071386
1113.166362,    0.073270
1148.381809,    0.076060
1184.019708,    0.079574
1220.173041,    0.083429
1256.738570,    0.087558
1272.986613,    0.089393
1310.332673,    0.110608
1336.255841,    0.125334
1374.026453,    0.125334
1412.085916,    0.125334
1450.268881,    0.125334
1466.762693,    0.125334
1505.117696,    0.125334
1543.479400,    0.125334
1548.582268,    0.125334
1586.947865,    0.090075
1625.313355,    0.084453
1663.678695,    0.082445
1702.043910,    0.081867
1740.409069,    0.081745
1749.806992,    0.081715
1788.172083,    0.081684
1826.537164,    0.081694
1864.902234,    0.081740
1903.267383,    0.081798
1941.632601,    0.081867
1979.997943,    0.081924
2018.363394,    0.081970
2056.728941,    0.082016
2095.094573,    0.082062
2133.460331,    0.082120
2171.826200,    0.082189
2210.192177,    0.082234
2248.558252,    0.082257
2286.924451,    0.082292
2325.290761,    0.082338
2363.657185,    0.082444
2387.521942,    0.082544
2425.888760,    0.082593
2464.255494,    0.082616
2502.622226,    0.082640
2540.988939,    0.082667
2579.355772,    0.082707
2617.722757,    0.082765
2656.089951,    0.082833
2694.457180,    0.082902
2732.824587,    0.082931
2771.192023,    0.082954
2809.559565,    0.082997
2847.927124,    0.083043
2886.294846,    0.083110
2924.662595,    0.083179
2963.030589,    0.083228
3001.398617,    0.083274
3039.766815,    0.083320
3078.135035,    0.083366
3116.503300,    0.083413
3154.871571,    0.083459
3193.239989,    0.083527
3231.608423,    0.083598
3269.977088,    0.083645
3308.345766,    0.083691
3346.714669,    0.083759
3385.083586,    0.083828
3423.452714,    0.083854
3461.821854,    0.083877
3500.191253,    0.083943
3538.560668,    0.084012
3576.930328,    0.084059
3615.300003,    0.084105
3653.669843,    0.084151
3692.039692,    0.084197
3730.409626,    0.084266
3768.779565,    0.084336
3807.149718,    0.084382
3845.519880,    0.084428
3883.890226,    0.084474
3922.260580,    0.084520
3960.631165,    0.084589
3999.001759,    0.084658
4037.372587,    0.084682
4075.743424,    0.084705
4114.114535,    0.084773
4152.485656,    0.084842
4190.857057,    0.084889
4229.228468,    0.084935
4267.600071,    0.084981
4305.971680,    0.085027
4344.343348,    0.085073
4382.715019,    0.085120
4421.086876,    0.085190
4459.458743,    0.085259
4497.830870,    0.085305
4536.203001,    0.085351
4574.575314,    0.085397
4612.947627,    0.085443
4651.319994,    0.085490
4689.692370,    0.085538
4728.064928,    0.085608
4766.437511,    0.085679
4804.810364,    0.085756
4843.183230,    0.085828
4881.556230,    0.085855
4919.929238,    0.085886
4958.302351,    0.085965
4996.675483,    0.086042
5035.048817,    0.086095
5073.422162,    0.086155
5111.795688,    0.086219
5150.169268,    0.086254
5188.543092,    0.086307
5226.916944,    0.086362
5265.291087,    0.086441
5303.665248,    0.086519
5342.039608,    0.086572
5380.413984,    0.086627
5418.788538,    0.086706
5457.163105,    0.086781
5495.537817,    0.086808
5533.912547,    0.086839
5572.287474,    0.086918
5610.662420,    0.086995
5649.037569,    0.087048
5687.412730,    0.087101
5725.788034,    0.087154
5764.163340,    0.087207
5802.538665,    0.087260
5840.914004,    0.087317
5879.289457,    0.087400
5917.664956,    0.087478
5956.040641,    0.087531
5994.416356,    0.087584
6032.792194,    0.087637
6071.168030,    0.087690
6109.543860,    0.087745
6147.919689,    0.087801
6186.295516,    0.087858
6224.671401,    0.087928
6263.047364,    0.088015
6301.423467,    0.088082
6339.799659,    0.088135
6378.175950,    0.088188
6416.552305,    0.088241
6454.928663,    0.088295
6493.305023,    0.088350
6531.681393,    0.088407
6570.057768,    0.088463
6608.434242,    0.088548
6646.810749,    0.088636
6685.187439,    0.088688
6723.564139,    0.088741
6761.940983,    0.088794
6800.317831,    0.088849
6838.694740,    0.088932
6877.071684,    0.089010
6915.448823,    0.089063
6953.825994,    0.089120
6992.203352,    0.089200
7030.580734,    0.089271
7068.958252,    0.089298
7107.335800,    0.089332
