Range, Altitude
   0.000000,    0.000000
   0.000018,    0.000000
   0.000199,    0.000000
   0.000401,    0.000000
   0.000602,    0.000000
   0.000804,    0.000000
   0.001005,    0.000000
   0.001206,    0.000000
   0.001408,    0.000000
   0.001609,    0.000000
   0.001811,    0.000000
   0.002012,    0.000000
   0.002504,    0.000000
   0.003032,    0.000000
   0.003560,    0.000000
   0.004088,    0.000000
   0.004616,    0.000000
   0.005144,    0.000000
   0.005672,    0.000000
   0.006200,    0.000000
   0.006729,    0.000000
   0.007257,    0.000000
   0.008072,    0.000000
   0.008922,    0.000000
   0.009773,    0.000000
   0.010624,    0.000000
   0.011474,    0.000000
   0.012325,    0.000000
   0.013176,    0.000000
   0.014027,    0.000000
   0.014877,    0.000000
   0.015728,    0.000000
   0.016862,    0.000000
   0.018031,    0.000000
   0.019200,    0.000000
   0.020370,    0.000000
   0.021539,    0.000000
   0.022708,    0.000000
   0.023877,    0.000000
   0.025047,    0.000000
   0.026216,    0.000000
   0.027385,    0.000000
   0.028834,    0.000000
   0.030317,    0.000000
   0.031801,    0.000000
   0.033284,    0.000000
   0.034767,    0.000000
   0.036251,    0.000000
   0.037734,    0.000000
   0.039218,    0.000000
   0.040701,    0.000000
   0.042185,    0.000000
   0.043944,    0.000000
   0.045737,    0.000000
   0.047530,    0.000000
   0.049323,    0.000000
   0.051117,    0.000000
   0.052910,    0.000000
   0.054703,    0.000000
   0.056496,    0.000000
   0.058289,    0.000000
   0.060083,    0.000000
   0.062146,    0.000000
   0.064244,    0.000000
   0.066341,    0.000000
   0.068438,    0.000000
   0.070536,    0.000000
   0.072633,    0.000000
   0.074730,    0.000000
   0.076828,    0.000000
   0.078925,    0.000000
   0.081023,    0.000000
   0.083385,    0.000000
   0.085780,    0.000000
   0.088176,    0.000000
   0.090571,    0.000000
   0.092966,    0.000000
   0.095362,    0.000000
   0.097757,    0.000000
   0.100153,    0.000000
   0.102548,    0.000000
   0.104943,    0.000000
   0.107598,    0.000000
   0.110286,    0.000000
   0.112973,    0.000000
   0.115660,    0.000000
   0.118347,    0.000000
   0.121035,    0.000000
   0.123722,    0.000000
   0.126409,    0.000000
   0.129097,    0.000000
   0.131784,    0.000000
   0.134725,    0.000000
   0.137698,    0.000000
   0.140671,    0.000000
   0.143644,    0.000000
   0.146617,    0.000000
   0.149590,    0.000000
   0.152564,    0.000000
   0.155537,    0.000000
   0.158510,    0.000000
   0.161483,    0.000000
   0.164704,    0.000000
   0.167957,    0.000000
   0.171210,    0.000000
   0.174462,    0.000000
   0.177715,    0.000000
   0.180968,    0.000000
   0.184220,    0.000000
   0.187473,    0.000000
   0.190726,    0.000000
   0.193978,    0.000000
   0.197474,    0.000000
   0.201000,    0.000000
   0.204525,    0.000000
   0.208051,    0.000000
   0.211577,    0.000000
   0.215103,    0.000000
   0.218629,    0.000000
   0.222155,    0.000000
   0.225681,    0.000000
   0.229207,    0.000000
   0.232968,    0.000000
   0.236760,    0.000000
   0.240551,    0.000000
   0.244343,    0.000000
   0.248134,    0.000000
   0.251926,    0.000000
   0.255717,    0.000000
   0.259508,    0.000000
   0.263300,    0.000000
   0.267091,    0.000000
   0.271112,    0.000000
   0.275161,    0.000000
   0.279210,    0.000000
   0.283259,    0.000000
   0.287308,    0.000000
   0.291357,    0.000000
   0.295406,    0.000000
   0.299455,    0.000000
   0.303505,    0.000000
   0.307554,    0.000000
   0.311825,    0.000000
   0.316124,    0.000000
   0.320423,    0.000000
   0.324722,    0.000000
   0.329021,    0.000000
   0.333320,    0.000000
   0.337619,    0.000000
   0.341918,    0.000000
   0.346217,    0.000000
   0.350516,    0.000000
   0.355030,    0.000000
   0.359572,    0.000000
   0.364113,    0.000000
   0.368654,    0.000000
   0.373195,    0.000000
   0.377737,    0.000000
   0.382278,    0.000000
   0.386819,    0.000000
   0.391361,    0.000000
   0.395902,    0.000000
   0.400652,    0.000000
   0.405428,    0.000000
   0.410204,    0.000000
   0.414980,    0.000000
   0.419756,    0.000000
   0.424532,    0.000000
   0.429308,    0.000000
   0.434084,    0.000000
   0.438861,    0.000000
   0.443637,    0.000000
   0.448615,    0.000000
   0.453618,    0.000000
   0.458622,    0.000000
   0.463626,    0.000000
   0.468629,    0.000000
   0.473633,    0.000000
   0.478636,    0.000000
   0.483640,    0.000000
   0.488643,    0.000000
   0.493647,    0.000000
   0.498812,    0.000000
   0.503998,    0.000000
   0.509183,    0.000000
   0.514369,    0.000000
   0.519555,    0.000000
   0.524740,    0.000000
   0.527775,    0.000000
   0.533069,    0.000000
   0.538363,    0.000000
   0.543657,    0.000000
   0.549018,    0.000000
   0.554454,    0.000000
   0.559889,    0.000000
   0.565325,    0.000000
   0.570761,    0.000000
   0.576196,    0.000000
   0.581632,    0.000000
   0.587068,    0.000000
   0.592504,    0.000000
   0.597939,    0.000000
   0.603470,    0.000000
   0.609107,    0.000000
   0.614744,    0.000000
   0.620380,    0.000000
   0.626017,    0.000000
   0.631653,    0.000000
   0.637290,    0.000000
   0.642927,    0.000000
   0.648563,    0.000000
   0.654200,    0.000000
   0.659925,    0.000000
   0.665750,    0.000000
   0.671574,    0.000000
   0.677398,    0.000000
   0.683222,    0.000000
   0.689047,    0.000000
   0.694871,    0.000000
   0.700695,    0.000000
   0.706519,    0.000000
   0.712344,    0.000000
   0.715406,    0.000000
   0.721384,    0.152465
   0.727362,    0.304930
   0.733340,    0.457395
   0.739318,    0.609860
   0.745296,    0.762325
   0.751275,    0.914790
   0.757253,    1.067255
   0.763231,    1.219719
   0.769209,    1.372184
   0.775187,    1.524649
   0.781229,    1.922885
   0.787271,    2.321121
   0.793313,    2.719357
   0.799355,    3.117593
   0.805397,    3.515829
   0.811461,    4.087544
   0.817525,    4.659260
   0.823589,    5.230975
   0.829653,    5.802691
   0.835717,    6.374407
   0.841788,    7.133836
   0.847859,    7.893265
   0.853930,    8.652695
   0.860001,    9.412124
   0.866071,   10.171554
   0.866071,   10.668000
   7.203532,  585.216000
  13.856847, 1159.764000
  20.925120, 1734.312000
  28.726967, 2308.860000
  37.581528, 2883.408000
  47.682066, 3457.956000
  59.311209, 4032.504000
  72.941474, 4607.052000
  89.663731, 5181.600000
  89.663731, 5181.600000
  96.264960, 5181.600000
 102.866189, 5181.600000
 109.467418, 5181.600000
 116.068647, 5181.600000
 122.669876, 5181.600000
 129.271105, 5181.600000
 135.872333, 5181.600000
 142.473562, 5181.600000
 149.074791, 5181.600000
 155.676020, 5181.600000
 162.277249, 5181.600000
 168.878478, 5181.600000
 175.479707, 5181.600000
 182.080935, 5181.600000
 188.682164, 5181.600000
 195.283393, 5181.600000
 201.884622, 5181.600000
 208.485851, 5181.600000
 215.087080, 5181.600000
 221.688309, 5181.600000
 228.289537, 5181.600000
