CD, CL
   0.009161,    0.014876
   0.009392,    0.067059
   0.010057,    0.119243
   0.011156,    0.171427
   0.012689,    0.223611
   0.014658,    0.275794
   0.017059,    0.327978
   0.019895,    0.380162
   0.023167,    0.432345
   0.026873,    0.484529
   0.031016,    0.536713
   0.035594,    0.588896
   0.040606,    0.641080
   0.046054,    0.693264
   0.051936,    0.745448
   0.058253,    0.797631
   0.065003,    0.849815
   0.072189,    0.901999
   0.079807,    0.954182
   0.087861,    1.006366
   0.096351,    1.058550
   0.105275,    1.110733
   0.114636,    1.162917
   0.124430,    1.215101
   0.134659,    1.267285
   0.145322,    1.319468
   0.156419,    1.371652
   0.167952,    1.423836
   0.179917,    1.476019
   0.192237,    1.527852
