eta, gamma
   0.000000,  261.354789
   0.020408,  261.090699
   0.040816,  260.376236
   0.061224,  259.315651
   0.081633,  257.957952
   0.102041,  256.336187
   0.122449,  254.475130
   0.142857,  252.394349
   0.163265,  250.109788
   0.183673,  247.634704
   0.204082,  244.980293
   0.224490,  242.156132
   0.244898,  239.170584
   0.265306,  236.031333
   0.285714,  232.747639
   0.306122,  229.321128
   0.326531,  225.742000
   0.346939,  222.031061
   0.367347,  218.205439
   0.387755,  214.276864
   0.408163,  210.255127
   0.428571,  206.148728
   0.448980,  201.965102
   0.469388,  197.710711
   0.489796,  193.391094
   0.510204,  189.010341
   0.530612,  184.572300
   0.551020,  180.080380
   0.571429,  175.536470
   0.591837,  170.941463
   0.612245,  166.295159
   0.632653,  161.596133
   0.653061,  156.841535
   0.673469,  152.026832
   0.693878,  147.145449
   0.714286,  142.188289
   0.734694,  137.143059
   0.755102,  131.993350
   0.775510,  126.717336
   0.795918,  121.285896
   0.816327,  115.659860
   0.836735,  109.785827
   0.857143,  103.589600
   0.877551,   96.965387
   0.897959,   89.756951
   0.918367,   81.721979
   0.938776,   72.456377
   0.959184,   61.201187
   0.979592,   46.154652
   1.000000,    0.000000
