eta, gamma
   0.000000,  606.576328
   0.020408,  605.978363
   0.040816,  604.365873
   0.061224,  601.982182
   0.081633,  598.942275
   0.102041,  595.324387
   0.122449,  591.188003
   0.142857,  586.581112
   0.163265,  581.544047
   0.183673,  576.111906
   0.204082,  570.316321
   0.224490,  564.187056
   0.244898,  557.753856
   0.265306,  551.049510
   0.285714,  544.119657
   0.306122,  537.023410
   0.326531,  529.789422
   0.346939,  522.392736
   0.367347,  514.821680
   0.387755,  507.075599
   0.408163,  499.157144
   0.428571,  491.070163
   0.448980,  482.818669
   0.469388,  474.406239
   0.489796,  465.835619
   0.510204,  457.106923
   0.530612,  448.220421
   0.551020,  439.176301
   0.571429,  429.971395
   0.591837,  420.600419
   0.612245,  411.055604
   0.632653,  401.326229
   0.653061,  391.398011
   0.673469,  381.252310
   0.693878,  370.865076
   0.714286,  360.205439
   0.734694,  349.233800
   0.755102,  337.899197
   0.775510,  326.135612
   0.795918,  313.856689
   0.816327,  300.947973
   0.836735,  287.255186
   0.857143,  272.565832
   0.877551,  256.579012
   0.897959,  238.852856
   0.918367,  218.705313
   0.938776,  195.003887
   0.959184,  165.630578
   0.979592,  125.580615
   1.000000,    0.000000
