eta, gamma
   0.000000,  175.049404
   0.020408,  174.868784
   0.040816,  174.378827
   0.061224,  173.649018
   0.081633,  172.711872
   0.102041,  171.589138
   0.122449,  170.296912
   0.142857,  168.847659
   0.163265,  167.251223
   0.183673,  165.515404
   0.204082,  163.646286
   0.224490,  161.648400
   0.244898,  159.524766
   0.265306,  157.276789
   0.285714,  154.904634
   0.306122,  152.395557
   0.326531,  149.730145
   0.346939,  146.940642
   0.367347,  144.051378
   0.387755,  141.077180
   0.408163,  138.029622
   0.428571,  134.918369
   0.448980,  131.751711
   0.469388,  128.536829
   0.489796,  125.279962
   0.510204,  121.986196
   0.530612,  118.660269
   0.551020,  115.306400
   0.571429,  111.927739
   0.591837,  108.526724
   0.612245,  105.105048
   0.632653,  101.663609
   0.653061,   98.202416
   0.673469,   94.720462
   0.693878,   91.215543
   0.714286,   87.684001
   0.734694,   84.120373
   0.755102,   80.516889
   0.775510,   76.862767
   0.795918,   73.143198
   0.816327,   69.337832
   0.836735,   65.418487
   0.857143,   61.345542
   0.877551,   57.061980
   0.897959,   52.482975
   0.918367,   47.476145
   0.938776,   41.819499
   0.959184,   35.093839
   0.979592,   26.298161
   1.000000,    0.000000
