Xcg/c, Mass
   5.556195, 35016.218169
   4.374419, 35226.218169
   3.328267, 35436.218169
   2.415340, 35646.218169
   1.633298, 35856.218169
   0.979855, 36066.218169
   0.452777, 36276.218169
   0.049883, 36486.218169
  -0.230960, 36696.218169
  -0.391835, 36906.218169
  -0.434778, 37116.218169
  -0.361780, 37326.218169
  -0.174786, 37536.218169
   0.124300, 37746.218169
   0.533619, 37956.218169
   1.051350, 38166.218169
   1.675714, 38376.218169
   2.404970, 38586.218169
   3.237414, 38796.218169
   4.171380, 39006.218169
   5.205237, 39216.218169
   6.337390, 39426.218169
   7.566274, 39636.218169
   8.890362, 39846.218169
  10.308155, 40056.218169
  11.818188, 40266.218169
  13.419025, 40476.218169
  12.355257, 40686.218169
  11.407794, 40896.218169
  10.574852, 41106.218169
   9.854685, 41316.218169
   9.245583, 41526.218169
   8.745868, 41736.218169
   8.353899, 41946.218169
   8.068064, 42156.218169
   7.886786, 42366.218169
   7.808517, 42576.218169
   7.831741, 42786.218169
   7.954970, 42996.218169
   8.176747, 43206.218169
   8.495641, 43416.218169
   8.910249, 43626.218169
   9.419197, 43836.218169
  10.021135, 44046.218169
  10.714740, 44256.218169
  11.498711, 44466.218169
  12.371776, 44676.218169
  13.332683, 44886.218169
  14.380206, 45096.218169
  15.513140, 45306.218169
  16.730303, 45516.218169
  18.030535, 45726.218169
  19.412695, 45936.218169
  18.929005, 46041.218169
  18.494212, 46146.218169
  18.107981, 46251.218169
  17.769985, 46356.218169
  17.479894, 46461.218169
  17.237386, 46566.218169
  17.042138, 46671.218169
  16.893834, 46776.218169
  16.792157, 46881.218169
  16.736795, 46986.218169
  16.727437, 47091.218169
  16.763778, 47196.218169
  16.845513, 47301.218169
  16.972339, 47406.218169
  17.143959, 47511.218169
  17.360075, 47616.218169
  17.620394, 47721.218169
  17.924625, 47826.218169
  18.272480, 47931.218169
  18.663672, 48036.218169
  19.097917, 48141.218169
  19.574935, 48246.218169
  20.094447, 48351.218169
  20.656176, 48456.218169
  21.259850, 48561.218169
  21.905196, 48666.218169
