Xcg/c, Mass
  17.724134, 39232.105766
  19.259155, 39432.105766
  20.675121, 39632.105766
  21.973825, 39832.105766
  23.157026, 40032.105766
  24.226444, 40232.105766
  25.183770, 40432.105766
  26.030657, 40632.105766
  26.768730, 40832.105766
  27.399579, 41032.105766
  27.924764, 41232.105766
  28.345815, 41432.105766
  28.664234, 41632.105766
  28.881493, 41832.105766
  28.999035, 42032.105766
  29.018277, 42232.105766
  28.940609, 42432.105766
  28.767395, 42632.105766
  28.499974, 42832.105766
  28.139658, 43032.105766
  27.687738, 43232.105766
  27.145479, 43432.105766
  26.514122, 43632.105766
  25.794888, 43832.105766
  24.988975, 44032.105766
  24.097557, 44232.105766
  23.121789, 44432.105766
  24.453781, 44632.105766
  25.682338, 44832.105766
  26.808838, 45032.105766
  27.834636, 45232.105766
  28.761061, 45432.105766
  29.589420, 45632.105766
  30.320997, 45832.105766
  30.957053, 46032.105766
  31.498827, 46232.105766
  31.947539, 46432.105766
  32.304386, 46632.105766
  32.570544, 46832.105766
  32.747170, 47032.105766
  32.835402, 47232.105766
  32.836359, 47432.105766
  32.751138, 47632.105766
  32.580822, 47832.105766
  32.326473, 48032.105766
  31.989137, 48232.105766
  31.569842, 48432.105766
  31.069598, 48632.105766
  30.489402, 48832.105766
  29.830230, 49032.105766
  29.093045, 49232.105766
  28.278795, 49432.105766
  27.388411, 49632.105766
  27.977530, 49732.105766
  28.523102, 49832.105766
  29.025389, 49932.105766
  29.484651, 50032.105766
  29.901145, 50132.105766
  30.275127, 50232.105766
  30.606849, 50332.105766
  30.896563, 50432.105766
  31.144520, 50532.105766
  31.350965, 50632.105766
  31.516144, 50732.105766
  31.640302, 50832.105766
  31.723679, 50932.105766
  31.766516, 51032.105766
  31.769050, 51132.105766
  31.731517, 51232.105766
  31.654152, 51332.105766
  31.537186, 51432.105766
  31.380851, 51532.105766
  31.185375, 51632.105766
  30.950984, 51732.105766
  30.677905, 51832.105766
  30.366361, 51932.105766
  30.016574, 52032.105766
  29.628763, 52132.105766
  29.203147, 52232.105766
