eta, Cl
   0.000000,    0.104406
   0.020408,    0.105161
   0.040816,    0.106665
   0.061224,    0.108202
   0.081633,    0.109759
   0.102041,    0.111329
   0.122449,    0.112905
   0.142857,    0.114485
   0.163265,    0.116064
   0.183673,    0.117642
   0.204082,    0.119217
   0.224490,    0.120786
   0.244898,    0.122348
   0.265306,    0.123902
   0.285714,    0.125447
   0.306122,    0.126982
   0.326531,    0.128503
   0.346939,    0.130011
   0.367347,    0.131502
   0.387755,    0.132974
   0.408163,    0.134426
   0.428571,    0.135852
   0.448980,    0.137251
   0.469388,    0.138618
   0.489796,    0.139947
   0.510204,    0.141233
   0.530612,    0.142468
   0.551020,    0.143644
   0.571429,    0.144752
   0.591837,    0.145781
   0.612245,    0.146715
   0.632653,    0.147540
   0.653061,    0.148236
   0.673469,    0.148777
   0.693878,    0.149137
   0.714286,    0.149280
   0.734694,    0.149162
   0.755102,    0.148732
   0.775510,    0.147924
   0.795918,    0.146655
   0.816327,    0.144822
   0.836735,    0.142292
   0.857143,    0.138891
   0.877551,    0.134385
   0.897959,    0.128453
   0.918367,    0.120619
   0.938776,    0.110135
   0.959184,    0.095642
   0.979592,    0.074003
   1.000000,    0.000000
