CL_e, delta_e_eq
   0.393706,    1.153265
   0.497101,    1.326844
   0.600297,    1.470983
   0.703299,    1.586760
   0.806092,    1.671735
   0.908676,    1.725913
   1.011052,    1.749571
   1.113228,    1.760072
   1.215556,    1.760200
   1.317373,    1.701505
   1.418972,    1.625710
   1.520351,    1.532997
   1.621502,    1.421409
   1.722428,    1.291640
   1.823138,    1.144398
   1.923628,    0.978728
   2.023888,    0.793122
   2.123920,    0.587364
   2.223721,    0.360774
   2.323292,    0.112745
   2.422631,   -0.156826
   2.521744,   -0.448493
   2.619353,   -0.781765
   2.710444,   -1.221197
   2.790377,   -1.831326
   2.855826,   -2.652955
   2.904776,   -3.965551
   2.936512,   -5.609814
   2.951610,   -7.554533
   2.951830,   -9.696986
   2.939694,  -11.890976
