CL_e, delta_e_eq
   0.393779,    1.163982
   0.497195,    1.340614
   0.600411,    1.487800
   0.703434,    1.606617
   0.806248,    1.694648
   0.908852,    1.751851
   1.011248,    1.778522
   1.113445,    1.792024
   1.215793,    1.795148
   1.317630,    1.739426
   1.419249,    1.666542
   1.520648,    1.576764
   1.621819,    1.468092
   1.722765,    1.341220
   1.823495,    1.196853
   1.924004,    1.034037
   2.024283,    0.851261
   2.124334,    0.648311
   2.224154,    0.424501
   2.323744,    0.179229
   2.423101,   -0.087613
   2.522233,   -0.376578
   2.619859,   -0.707210
   2.710967,   -1.144207
   2.790915,   -1.752143
   2.856375,   -2.572084
   2.905333,   -3.883458
   2.937074,   -5.526214
   2.952174,   -7.470677
   2.952393,   -9.607506
   2.940253,  -11.782120
