CL_e, delta_e_eq
   0.394046,    1.186323
   0.488147,    1.361369
   0.582092,    1.513474
   0.675870,    1.641062
   0.769473,    1.743000
   0.862905,    1.819632
   0.956179,    1.873001
   1.049280,    1.901073
   1.142203,    1.915276
   1.235322,    1.933293
   1.327950,    1.891604
   1.420402,    1.836399
   1.512676,    1.767665
   1.604766,    1.684294
   1.696668,    1.585489
   1.788381,    1.470581
   1.879908,    1.340305
   1.971256,    1.195280
   2.062417,    1.033766
   2.153383,    0.854512
   2.244157,    0.657891
   2.334743,    0.444007
   2.425145,    0.213173
   2.515360,   -0.035778
   2.604643,   -0.315910
   2.689326,   -0.675881
   2.765701,   -1.164352
   2.830960,   -1.817969
   2.883185,   -2.746768
   2.921341,   -4.083179
   2.945286,   -5.664055
   2.955763,   -7.481202
   2.954250,   -9.399321
   2.942748,  -11.366220
