CL_e, delta_e_eq
   0.385044,   -0.121634
   0.485975,   -0.310681
   0.586711,   -0.528480
   0.687260,   -0.773748
   0.787607,   -1.048770
   0.887753,   -1.353403
   0.987701,   -1.687143
   1.087460,   -2.032849
   1.187372,   -2.388476
   1.286795,   -2.800074
   1.386012,   -3.226822
   1.485024,   -3.668414
   1.583823,   -4.126593
   1.682414,   -4.600564
   1.780806,   -5.090393
   1.878994,   -5.599910
   1.976972,   -6.126775
   2.074742,   -6.671116
   2.172300,   -7.233480
   2.269650,   -7.814385
   2.366789,   -8.419328
   2.463724,   -9.080118
   2.559206,   -9.777690
   2.648335,  -10.563801
   2.726572,  -11.491660
   2.790662,  -12.801191
   2.838630,  -14.724677
   2.869770,  -24.710897
   2.884638,  -25.000000
