CL_e, delta_e_eq
   0.385017,   -0.125542
   0.485941,   -0.315706
   0.586669,   -0.534620
   0.687211,   -0.781000
   0.787550,   -1.057130
   0.887688,   -1.362869
   0.987629,   -1.697721
   1.087381,   -2.044525
   1.187286,   -2.401249
   1.286700,   -2.813935
   1.385910,   -3.241765
   1.484915,   -3.684432
   1.583707,   -4.143680
   1.682291,   -4.618714
   1.780675,   -5.109774
   1.878857,   -5.620347
   1.976827,   -6.148259
   2.074590,   -6.693639
   2.172142,   -7.257033
   2.269484,   -7.838958
   2.366617,   -8.446661
   2.463546,   -9.108520
   2.559021,   -9.807137
   2.648144,  -10.594211
   2.726375,  -11.522904
   2.790461,  -12.840256
   2.838426,  -14.764335
   2.869564,  -24.845419
   2.884431,  -25.000000
