eta, Cm
   0.000000,    0.108890
   0.020408,    0.107602
   0.040816,    0.109414
   0.061224,    0.110675
   0.081633,    0.111286
   0.102041,    0.111151
   0.122449,    0.110163
   0.142857,    0.108199
   0.163265,    0.105117
   0.183673,    0.100748
   0.204082,    0.094888
   0.224490,    0.087292
   0.244898,    0.077658
   0.265306,    0.065613
   0.285714,    0.050690
   0.306122,    0.032296
   0.326531,    0.009579
   0.346939,   -0.020867
   0.367347,   -0.071072
   0.387755,   -0.123187
   0.408163,   -0.176713
   0.428571,   -0.231650
   0.448980,   -0.287987
   0.469388,   -0.345705
   0.489796,   -0.404786
   0.510204,   -0.465204
   0.530612,   -0.526936
   0.551020,   -0.589957
   0.571429,   -0.654238
   0.591837,   -0.719745
   0.612245,   -0.786438
   0.632653,   -0.854269
   0.653061,   -0.923175
   0.673469,   -0.993078
   0.693878,   -1.063873
   0.714286,   -1.135421
   0.734694,   -1.207528
   0.755102,   -1.279925
   0.775510,   -1.352229
   0.795918,   -1.423884
   0.816327,   -1.494063
   0.836735,   -1.561513
   0.857143,   -1.624279
   0.877551,   -1.679220
   0.897959,   -1.721117
   0.918367,   -1.740910
   0.938776,   -1.722003
   0.959184,   -1.631504
   0.979592,   -1.393478
   1.000000,    0.000000
