eta, Cm
   0.000000,    0.043429
   0.020408,    0.042491
   0.040816,    0.043795
   0.061224,    0.044693
   0.081633,    0.045111
   0.102041,    0.044981
   0.122449,    0.044223
   0.142857,    0.042748
   0.163265,    0.040454
   0.183673,    0.037217
   0.204082,    0.032889
   0.224490,    0.024989
   0.244898,    0.013739
   0.265306,    0.001330
   0.285714,   -0.012426
   0.306122,   -0.027756
   0.326531,   -0.044947
   0.346939,   -0.065259
   0.367347,   -0.094782
   0.387755,   -0.125647
   0.408163,   -0.157923
   0.428571,   -0.191696
   0.448980,   -0.227056
   0.469388,   -0.264101
   0.489796,   -0.302939
   0.510204,   -0.343687
   0.530612,   -0.386472
   0.551020,   -0.431433
   0.571429,   -0.478722
   0.591837,   -0.523355
   0.612245,   -0.563719
   0.632653,   -0.603705
   0.653061,   -0.643154
   0.673469,   -0.681889
   0.693878,   -0.719706
   0.714286,   -0.756369
   0.734694,   -0.791604
   0.755102,   -0.825082
   0.775510,   -0.856406
   0.795918,   -0.885080
   0.816327,   -0.910470
   0.836735,   -0.931739
   0.857143,   -0.947733
   0.877551,   -0.956792
   0.897959,   -0.956395
   0.918367,   -0.942471
   0.938776,   -0.907945
   0.959184,   -0.839277
   0.979592,   -0.705674
   1.000000,    0.000000
