eta, Cm
   0.000000,    0.370732
   0.020408,    0.368047
   0.040816,    0.371889
   0.061224,    0.374603
   0.081633,    0.375986
   0.102041,    0.375834
   0.122449,    0.373925
   0.142857,    0.370002
   0.163265,    0.363770
   0.183673,    0.354872
   0.204082,    0.342884
   0.224490,    0.327285
   0.244898,    0.307438
   0.265306,    0.282550
   0.285714,    0.251621
   0.306122,    0.213376
   0.326531,    0.165966
   0.346939,    0.102042
   0.367347,   -0.004571
   0.387755,   -0.116133
   0.408163,   -0.231910
   0.428571,   -0.352177
   0.448980,   -0.477179
   0.469388,   -0.607150
   0.489796,   -0.742329
   0.510204,   -0.882957
   0.530612,   -1.029290
   0.551020,   -1.181599
   0.571429,   -1.340171
   0.591837,   -1.505306
   0.612245,   -1.677316
   0.632653,   -1.856524
   0.653061,   -2.043258
   0.673469,   -2.237833
   0.693878,   -2.440544
   0.714286,   -2.651628
   0.734694,   -2.871223
   0.755102,   -3.099296
   0.775510,   -3.335522
   0.795918,   -3.579101
   0.816327,   -3.828436
   0.836735,   -4.080611
   0.857143,   -4.330462
   0.877551,   -4.568933
   0.897959,   -4.780005
   0.918367,   -4.934669
   0.938776,   -4.978232
   0.959184,   -4.800414
   0.979592,   -4.144690
   1.000000,    0.000000
