Vfailure/VsTO, Distance
   0.621121, 1266.478051
   0.621672, 1268.389926
   0.622222, 1270.301802
   0.622773, 1272.213677
   0.623323, 1274.125552
   0.623874, 1276.037427
   0.624424, 1277.949303
   0.624975, 1279.861178
   0.625526, 1281.773053
   0.626076, 1283.684928
   0.626627, 1285.596804
   0.627177, 1287.508679
   0.627728, 1289.420554
   0.628278, 1291.332429
   0.628829, 1293.244305
   0.629379, 1295.156180
   0.629930, 1297.068055
   0.630480, 1298.979930
   0.631031, 1300.891806
   0.631582, 1302.803681
   0.632132, 1304.715556
   0.632683, 1306.627431
   0.633233, 1308.539307
   0.633784, 1310.451182
   0.634334, 1312.363057
   0.634885, 1314.274932
   0.635435, 1316.186808
   0.635986, 1318.098683
   0.636537, 1320.010558
   0.637087, 1321.922433
   0.637638, 1323.834309
   0.638188, 1325.746184
   0.638739, 1327.658059
   0.639289, 1329.569934
   0.639840, 1331.481810
   0.640390, 1333.393685
   0.640941, 1335.305560
   0.641491, 1337.217435
   0.642042, 1339.129311
   0.642593, 1341.041186
   0.643143, 1342.953061
   0.643694, 1344.864936
   0.644244, 1346.776812
   0.644795, 1348.688687
   0.645345, 1350.600562
   0.645896, 1352.512437
   0.646446, 1354.424313
   0.646997, 1356.336188
   0.647548, 1358.248063
   0.648098, 1360.159938
   0.648649, 1362.071814
   0.649199, 1363.983689
   0.649750, 1365.895564
   0.650300, 1367.807439
   0.650851, 1369.719315
   0.651401, 1371.631190
   0.651952, 1373.543065
   0.652503, 1375.454940
   0.653053, 1377.366816
   0.653604, 1379.278691
   0.654154, 1381.190566
   0.654705, 1383.102441
   0.655255, 1385.014317
   0.655806, 1386.926192
   0.656356, 1388.838067
   0.656907, 1390.749942
   0.657457, 1392.661818
   0.658008, 1394.573693
   0.658559, 1396.485568
   0.659109, 1398.397443
   0.659660, 1400.309319
   0.660210, 1402.221194
   0.660761, 1404.133069
   0.661311, 1406.044944
   0.661862, 1407.956820
   0.662412, 1409.868695
   0.662963, 1411.780570
   0.663514, 1413.692445
   0.664064, 1415.604320
   0.664615, 1417.516196
   0.665165, 1419.428071
   0.665716, 1421.339946
   0.666266, 1423.251821
   0.666817, 1425.163697
   0.667367, 1427.075572
   0.667918, 1428.987447
   0.668468, 1430.899322
   0.669019, 1432.811198
   0.669570, 1434.723073
   0.670120, 1436.634948
   0.670671, 1438.546823
   0.671221, 1440.458699
   0.671772, 1442.370574
   0.672322, 1444.282449
   0.672873, 1446.194324
   0.673423, 1448.106200
   0.673974, 1450.018075
   0.674525, 1451.929950
   0.675075, 1453.841825
   0.675626, 1455.753701
   0.676176, 1457.665576
   0.676727, 1459.577451
   0.677277, 1461.489326
   0.677828, 1463.401202
   0.678378, 1465.313077
   0.678929, 1467.224952
   0.679479, 1469.136827
   0.680030, 1471.048703
   0.680581, 1472.960578
   0.681131, 1474.872453
   0.681682, 1476.784328
   0.682232, 1478.696204
   0.682783, 1480.608079
   0.683333, 1482.519954
   0.683884, 1485.234520
   0.684434, 1487.949085
   0.684985, 1490.663650
   0.685536, 1493.378215
   0.686086, 1496.092781
   0.686637, 1498.807346
   0.687187, 1501.521911
   0.687738, 1504.236477
   0.688288, 1506.951042
   0.688839, 1509.665607
   0.689389, 1512.380173
   0.689940, 1515.094738
   0.690490, 1517.809303
   0.691041, 1520.523869
   0.691592, 1523.238434
   0.692142, 1525.952999
   0.692693, 1528.667565
   0.693243, 1531.382130
   0.693794, 1534.096695
   0.694344, 1536.811260
   0.694895, 1539.525826
   0.695445, 1542.240391
   0.695996, 1544.954956
   0.696547, 1547.669522
   0.697097, 1550.384087
   0.697648, 1553.098652
   0.698198, 1555.813218
   0.698749, 1558.527783
   0.699299, 1561.242348
   0.699850, 1563.956914
   0.700400, 1566.671479
   0.700951, 1569.386044
   0.701502, 1572.100610
   0.702052, 1574.815175
   0.702603, 1577.529740
   0.703153, 1580.244306
   0.703704, 1582.958871
   0.704254, 1585.673436
   0.704805, 1588.388001
   0.705355, 1591.102567
   0.705906, 1593.817132
   0.706456, 1596.531697
   0.707007, 1599.246263
   0.707558, 1601.960828
   0.708108, 1604.675393
   0.708659, 1607.389959
   0.709209, 1610.104524
   0.709760, 1612.819089
   0.710310, 1615.533655
   0.710861, 1618.248220
