alpha body, Efficiency
 -10.000000,   -8.513063
  -9.000000,   -8.536437
  -8.000000,   -8.426241
  -7.000000,   -8.107001
  -6.000000,   -7.471952
  -5.000000,   -6.348308
  -4.000000,   -4.582935
  -3.000000,   -2.051687
  -2.000000,    1.286203
  -1.000000,    5.216417
   0.000000,    9.265979
   1.000000,   12.743307
   2.000000,   15.202630
   3.000000,   16.563675
   4.000000,   16.997070
   5.000000,   16.781476
   6.000000,   16.118544
   7.000000,   15.240859
   8.000000,   14.298053
   9.000000,   13.370782
  10.000000,   12.491161
  11.000000,   11.667601
  12.000000,   10.859251
  13.000000,   10.022154
  14.000000,    9.158823
  15.000000,    8.293842
  16.000000,    7.462487
  17.000000,    6.704180
  18.000000,    6.220849
  19.000000,    6.095804
  20.000000,    6.165680
