alpha body, Efficiency
 -10.000000,   -7.956013
  -9.000000,   -7.979154
  -8.000000,   -7.877575
  -7.000000,   -7.580727
  -6.000000,   -6.989142
  -5.000000,   -5.941255
  -4.000000,   -4.293410
  -3.000000,   -1.929187
  -2.000000,    1.190037
  -1.000000,    4.863294
   0.000000,    8.644770
   1.000000,   11.889583
   2.000000,   14.183697
   3.000000,   15.449637
   4.000000,   15.849498
   5.000000,   15.647327
   6.000000,   15.030540
   7.000000,   14.211102
   8.000000,   13.332244
   9.000000,   12.469157
  10.000000,   11.649640
  11.000000,   10.881038
  12.000000,   10.127557
  13.000000,    9.336610
  14.000000,    8.494745
