alpha body, Efficiency
 -10.000000,   -8.054996
  -9.090909,   -8.093512
  -8.181818,   -8.028661
  -7.272727,   -7.788586
  -6.363636,   -7.323539
  -5.454545,   -6.553642
  -4.545455,   -5.350149
  -3.636364,   -3.569532
  -2.727273,   -1.166982
  -1.818182,    1.851182
  -0.909091,    5.290263
  -0.000000,    8.730460
   0.909091,   11.748250
   1.818182,   14.046472
   2.727273,   15.475912
   3.636364,   16.033812
   4.545455,   16.002493
   5.454545,   15.600377
   6.363636,   14.961493
   7.272727,   14.177372
   8.181818,   13.368473
   9.090909,   12.581726
  10.000000,   11.824247
  10.909091,   11.103273
  11.818182,   10.411274
  12.727273,    9.706666
  13.636364,    8.971580
  14.545455,    8.219810
  15.454545,    7.478263
