alpha body, Efficiency
 -10.000000,   -8.313329
  -9.090909,   -8.351571
  -8.181818,   -8.282980
  -7.272727,   -8.033390
  -6.363636,   -7.551511
  -5.454545,   -6.754982
  -4.545455,   -5.511063
  -3.636364,   -3.671866
  -2.727273,   -1.191483
  -1.818182,    1.923188
  -0.909091,    5.471466
  -0.000000,    9.023251
   0.909091,   12.140367
   1.818182,   14.514373
   2.727273,   15.988778
   3.636364,   16.562044
   4.545455,   16.530455
   5.454545,   16.114973
   6.363636,   15.453813
   7.272727,   14.641996
   8.181818,   13.804371
   9.090909,   12.991232
  10.000000,   12.208419
  10.909091,   11.462936
  11.818182,   10.747281
  12.727273,   10.019066
  13.636364,    9.260600
  14.545455,    8.484956
  15.454545,    7.723338
  16.363636,    7.006032
  17.272727,    6.376877
  18.181818,    6.036239
  19.090909,    5.946052
  20.000000,    5.999665
