alpha body, Efficiency
 -10.000000,   -8.514388
  -9.090909,   -8.553868
  -8.181818,   -8.483998
  -7.272727,   -8.228828
  -6.363636,   -7.735784
  -5.454545,   -6.919868
  -4.545455,   -5.645613
  -3.636364,   -3.761605
  -2.727273,   -1.220832
  -1.818182,    1.969609
  -0.909091,    5.604135
  -0.000000,    9.242177
   0.909091,   12.434902
   1.818182,   14.866850
   2.727273,   16.378963
   3.636364,   16.967671
   4.545455,   16.936272
   5.454545,   16.511135
   6.363636,   15.833943
   7.272727,   15.002144
   8.181818,   14.143769
   9.090909,   13.310414
  10.000000,   12.508099
  10.909091,   11.744027
  11.818182,   11.010585
  12.727273,   10.264465
  13.636364,    9.488153
  14.545455,    8.694319
  15.454545,    7.914980
  16.363636,    7.180779
  17.272727,    6.537364
  18.181818,    6.189336
  19.090909,    6.098790
  20.000000,    6.171246
