alpha body, Efficiency
 -10.000000,   -8.009413
  -9.090909,   -8.046269
  -8.181818,   -7.980208
  -7.272727,   -7.739761
  -6.363636,   -7.275511
  -5.454545,   -6.508098
  -4.545455,   -5.309602
  -3.636364,   -3.537501
  -2.727273,   -1.147538
  -1.818182,    1.853681
  -0.909091,    5.272002
  -0.000000,    8.689753
   0.909091,   11.686204
   1.818182,   13.966587
   2.727273,   15.383316
   3.636364,   15.930494
   4.545455,   15.895676
   5.454545,   15.493821
   6.363636,   14.857359
   7.272727,   14.076714
   8.181818,   13.269261
   9.090909,   12.486638
  10.000000,   11.734003
  10.909091,   11.017604
  11.818182,   10.327907
  12.727273,    9.626900
  13.636364,    8.897855
  14.545455,    8.124033
  15.454545,    7.386860
