alpha body, Efficiency
 -10.000000,   -8.011112
  -9.000000,   -8.032774
  -8.000000,   -7.928690
  -7.000000,   -7.627832
  -6.000000,   -7.030084
  -5.000000,   -5.972860
  -4.000000,   -4.311738
  -3.000000,   -1.929844
  -2.000000,    1.211261
  -1.000000,    4.909426
   0.000000,    8.715404
   1.000000,   11.979975
   2.000000,   14.286511
   3.000000,   15.561870
   4.000000,   15.961161
   5.000000,   15.754067
   6.000000,   15.129884
   7.000000,   14.305967
   8.000000,   13.418752
   9.000000,   12.547520
  10.000000,   11.722074
  11.000000,   10.949071
  12.000000,   10.188857
  13.000000,    9.402404
  14.000000,    8.584505
  15.000000,    7.741909
  16.000000,    6.970877
