alpha body, Efficiency
 -10.000000,   -8.314156
  -9.000000,   -8.336631
  -8.000000,   -8.228587
  -7.000000,   -7.916319
  -6.000000,   -7.295942
  -5.000000,   -6.198755
  -4.000000,   -4.474909
  -3.000000,   -2.003154
  -2.000000,    1.256351
  -1.000000,    5.094350
   0.000000,    9.048992
   1.000000,   12.444916
   2.000000,   14.845578
   3.000000,   16.172696
   4.000000,   16.594459
   5.000000,   16.383136
   6.000000,   15.735580
   7.000000,   14.878706
   8.000000,   13.958448
   9.000000,   13.053447
  10.000000,   12.195001
  11.000000,   11.391284
  12.000000,   10.602317
  13.000000,    9.784735
  14.000000,    8.941018
  15.000000,    8.095659
  16.000000,    7.283268
  17.000000,    6.541709
  18.000000,    6.068911
  19.000000,    5.944819
  20.000000,    5.994333
