alpha body, Efficiency
 -10.000000,   -8.010041
  -9.000000,   -8.031701
  -8.000000,   -7.927631
  -7.000000,   -7.626813
  -6.000000,   -7.029146
  -5.000000,   -5.972062
  -4.000000,   -4.311162
  -3.000000,   -1.929586
  -2.000000,    1.211101
  -1.000000,    4.908765
   0.000000,    8.714219
   1.000000,   11.978331
   2.000000,   14.284539
   3.000000,   15.559716
   4.000000,   15.958853
   5.000000,   15.751792
   6.000000,   15.127708
   7.000000,   14.303921
   8.000000,   13.416761
   9.000000,   12.545673
  10.000000,   11.720362
  11.000000,   10.947391
  12.000000,   10.187310
  13.000000,    9.400992
  14.000000,    8.582780
  15.000000,    7.740190
  16.000000,    6.969959
