V (EAS), 
  73.945885,    0.000000
  73.945885,    1.000000
  78.720643,    1.133311
  83.495401,    1.274961
  88.270160,    1.424950
  93.044918,    1.583278
  97.819676,    1.749945
 102.594435,    1.924950
 107.369193,    2.108295
 112.143951,    2.299978
 116.918710,    2.500000
 230.154187,    2.500000
 287.692733,    2.500000
 287.692733,    0.000000
 230.154187,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,   -1.000000
  93.534968,    0.000000
