eta, Gamma
   0.000000,   73.195661
   0.020408,   73.239624
   0.040816,   73.338423
   0.061224,   73.449681
   0.081633,   73.556753
   0.102041,   73.650266
   0.122449,   73.724335
   0.142857,   73.775048
   0.163265,   73.799687
   0.183673,   73.796290
   0.204082,   73.763385
   0.224490,   73.699809
   0.244898,   73.604591
   0.265306,   73.476869
   0.285714,   73.315829
   0.306122,   73.120655
   0.326531,   72.890493
   0.346939,   72.624425
   0.367347,   72.321435
   0.387755,   71.980387
   0.408163,   71.600003
   0.428571,   71.178833
   0.448980,   70.715233
   0.469388,   70.207339
   0.489796,   69.653029
   0.510204,   69.049387
   0.530612,   68.393584
   0.551020,   67.682960
   0.571429,   66.913938
   0.591837,   66.082444
   0.612245,   65.183822
   0.632653,   64.212748
   0.653061,   63.163114
   0.673469,   62.027893
   0.693878,   60.798967
   0.714286,   59.466917
   0.734694,   58.020753
   0.755102,   56.447553
   0.775510,   54.731992
   0.795918,   52.855673
   0.816327,   50.796162
   0.836735,   48.525525
   0.857143,   46.008013
   0.877551,   43.196163
   0.897959,   40.023861
   0.918367,   36.392846
   0.938776,   32.143184
   0.959184,   26.975418
   0.979592,   20.164650
   1.000000,    0.000000
