eta, Gamma
   0.000000,   14.639132
   0.020408,   14.647925
   0.040816,   14.667685
   0.061224,   14.689936
   0.081633,   14.711351
   0.102041,   14.730053
   0.122449,   14.744867
   0.142857,   14.755010
   0.163265,   14.759937
   0.183673,   14.759258
   0.204082,   14.752677
   0.224490,   14.739962
   0.244898,   14.720918
   0.265306,   14.695374
   0.285714,   14.663166
   0.306122,   14.624131
   0.326531,   14.578099
   0.346939,   14.524885
   0.367347,   14.464287
   0.387755,   14.396077
   0.408163,   14.320001
   0.428571,   14.235767
   0.448980,   14.143047
   0.469388,   14.041468
   0.489796,   13.930606
   0.510204,   13.809877
   0.530612,   13.678717
   0.551020,   13.536592
   0.571429,   13.382788
   0.591837,   13.216489
   0.612245,   13.036764
   0.632653,   12.842550
   0.653061,   12.632623
   0.673469,   12.405579
   0.693878,   12.159793
   0.714286,   11.893383
   0.734694,   11.604151
   0.755102,   11.289511
   0.775510,   10.946398
   0.795918,   10.571135
   0.816327,   10.159232
   0.836735,    9.705105
   0.857143,    9.201603
   0.877551,    8.639233
   0.897959,    8.004772
   0.918367,    7.278569
   0.938776,    6.428637
   0.959184,    5.395084
   0.979592,    4.032930
   1.000000,    0.000000
