eta, Total_load
   0.000000, 4353.607469
   0.020408, 4336.517429
   0.040816, 4334.097436
   0.061224, 4329.975632
   0.081633, 4324.124374
   0.102041, 4316.529784
   0.122449, 4307.185288
   0.142857, 4296.088564
   0.163265, 4283.239597
   0.183673, 4268.639239
   0.204082, 4252.288048
   0.224490, 4234.185315
   0.244898, 4214.328220
   0.265306, 4192.711090
   0.285714, 4169.324718
   0.306122, 4144.155723
   0.326531, 4117.185936
   0.346939, 4088.391770
   0.367347, 4057.743577
   0.387755, 4025.204953
   0.408163, 3990.731970
   0.428571, 3954.272329
   0.448980, 3915.764382
   0.469388, 3875.136012
   0.489796, 3832.303328
   0.510204, 3787.143520
   0.530612, 3739.539067
   0.551020, 3689.383154
   0.571429, 3636.524777
   0.591837, 3580.789647
   0.612245, 3521.976322
   0.632653, 3459.851445
   0.653061, 3394.143861
   0.673469, 3324.537224
   0.693878, 3250.660638
   0.714286, 3172.076619
   0.734694, 3088.265379
   0.755102, 2998.603932
   0.775510, 2902.337711
   0.795918, 2798.541061
   0.816327, 2686.060564
   0.836735, 2563.430799
   0.857143, 2428.743537
   0.877551, 2279.433316
   0.897959, 2111.900920
   0.918367, 1920.789520
   0.938776, 1697.407078
   0.959184, 1425.571905
   0.979592, 1066.352326
   1.000000,    0.000000
