eta, Total_load
   0.000000, 21768.037344
   0.020408, 21682.587144
   0.040816, 21670.487180
   0.061224, 21649.878160
   0.081633, 21620.621870
   0.102041, 21582.648921
   0.122449, 21535.926441
   0.142857, 21480.442819
   0.163265, 21416.197984
   0.183673, 21343.196196
   0.204082, 21261.440241
   0.224490, 21170.926573
   0.244898, 21071.641099
   0.265306, 20963.555450
   0.285714, 20846.623588
   0.306122, 20720.778616
   0.326531, 20585.929679
   0.346939, 20441.958850
   0.367347, 20288.717887
   0.387755, 20126.024764
   0.408163, 19953.659851
   0.428571, 19771.361647
   0.448980, 19578.821911
   0.469388, 19375.680058
   0.489796, 19161.516641
   0.510204, 18935.717598
   0.530612, 18697.695335
   0.551020, 18446.915768
   0.571429, 18182.623883
   0.591837, 17903.948237
   0.612245, 17609.881609
   0.632653, 17299.257227
   0.653061, 16970.719305
   0.673469, 16622.686119
   0.693878, 16253.303188
   0.714286, 15860.383093
   0.734694, 15441.326896
   0.755102, 14993.019660
   0.775510, 14511.688555
   0.795918, 13992.705304
   0.816327, 13430.302819
   0.836735, 12817.153997
   0.857143, 12143.717685
   0.877551, 11397.166581
   0.897959, 10559.504601
   0.918367, 9603.947602
   0.938776, 8487.035391
   0.959184, 7127.859523
   0.979592, 5331.761629
   1.000000,    0.000000
