Speed(TAS), Altitude
 113.078422,    0.000000
 113.623127,  328.083990
 114.171680,  656.167979
 114.724118,  984.251969
 115.280476, 1312.335958
 115.840792, 1640.419948
 116.405102, 1968.503937
 116.973444, 2296.587927
 117.545857, 2624.671916
 118.122378, 2952.755906
 118.703048, 3280.839895
 119.287904, 3608.923885
 119.876987, 3937.007874
 120.470338, 4265.091864
 121.067997, 4593.175853
 121.670005, 4921.259843
 122.276405, 5249.343832
 122.887239, 5577.427822
 123.502549, 5905.511811
 124.122379, 6233.595801
 124.746772, 6561.679790
 125.375774, 6889.763780
 126.009429, 7217.847769
 126.647783, 7545.931759
 127.290881, 7874.015748
 127.938770, 8202.099738
 128.591498, 8530.183727
 129.249111, 8858.267717
 129.911660, 9186.351706
 130.579191, 9514.435696
 131.251755, 9842.519685
 131.929403, 10170.603675
 132.612184, 10498.687664
 133.300150, 10826.771654
 133.993354, 11154.855643
 134.691847, 11482.939633
 135.395684, 11811.023622
 136.104918, 12139.107612
 136.819604, 12467.191601
 137.539797, 12795.275591
 138.265553, 13123.359580
 138.996930, 13451.443570
 139.733984, 13779.527559
 140.476774, 14107.611549
 141.225360, 14435.695538
 141.979799, 14763.779528
 142.740155, 15091.863517
 143.506486, 15419.947507
 144.278856, 15748.031496
 145.057328, 16076.115486
 145.841964, 16404.199475
 146.632831, 16732.283465
 147.429992, 17060.367454
 148.233515, 17388.451444
 149.043466, 17716.535433
 149.859913, 18044.619423
 150.682926, 18372.703412
 151.512573, 18700.787402
 152.348926, 19028.871391
 154.118465, 19356.955381
 155.426694, 19685.039370
 156.738511, 20013.123360
 158.053966, 20341.207349
 159.829658, 20669.291339
 161.150859, 20997.375328
 163.835360, 21325.459318
 166.062024, 21653.543307
 168.285717, 21981.627297
 170.954487, 22309.711286
 174.509476, 22637.795276
 177.606501, 22965.879265
 181.136397, 23293.963255
 185.534942, 23622.047244
 189.034189, 23950.131234
 193.832399, 24278.215223
 198.170376, 24606.299213
 202.921294, 24934.383202
 208.943991, 25262.467192
 213.639755, 25590.551181
 221.738860, 25918.635171
 257.947872, 26246.719160
 265.023554, 25918.635171
 269.158613, 25590.551181
 273.339799, 25262.467192
 277.132742, 24934.383202
 280.095924, 24606.299213
 282.218319, 24278.215223
 284.367666, 23950.131234
 286.102651, 23622.047244
 287.860630, 23293.963255
 289.641409, 22965.879265
 291.444794, 22637.795276
 292.822553, 22309.711286
 294.668868, 21981.627297
 295.182823, 21653.543307
 296.161617, 21325.459318
 296.700493, 20997.375328
 297.250820, 20669.291339
 298.270720, 20341.207349
 298.845311, 20013.123360
 299.431043, 19685.039370
 299.564613, 19356.955381
 300.170691, 19028.871391
 300.321143, 18700.787402
 300.947217, 18372.703412
 301.114236, 18044.619423
 301.288617, 17716.535433
 301.943245, 17388.451444
 302.133744, 17060.367454
 302.331397, 16732.283465
 303.013863, 16404.199475
 303.227203, 16076.115486
 302.966623, 15748.031496
 303.192243, 15419.947507
 302.940708, 15091.863517
 302.692849, 14763.779528
 302.448628, 14435.695538
 302.208005, 14107.611549
 301.970940, 13779.527559
 301.737397, 13451.443570
 301.507336, 13123.359580
 301.280721, 12795.275591
 301.057515, 12467.191601
 300.837682, 12139.107612
 300.621185, 11811.023622
 300.407989, 11482.939633
 300.198060, 11154.855643
 299.991362, 10826.771654
 299.787862, 10498.687664
 299.081006, 10170.603675
 298.374378, 9842.519685
 297.667962, 9514.435696
 296.450888, 9186.351706
 295.743420, 8858.267717
 294.522410, 8530.183727
 293.813857, 8202.099738
 293.105456, 7874.015748
 291.879228, 7545.931759
 291.169687, 7217.847769
 290.460264, 6889.763780
 289.750945, 6561.679790
 289.041716, 6233.595801
 288.332566, 5905.511811
 287.623481, 5577.427822
 286.914449, 5249.343832
 286.205457, 4921.259843
 284.966077, 4593.175853
 284.255772, 4265.091864
 283.545475, 3937.007874
 282.300706, 3608.923885
 281.589050, 3280.839895
 280.340227, 2952.755906
 279.627185, 2624.671916
 278.914104, 2296.587927
 277.659848, 1968.503937
 276.945338, 1640.419948
 276.230759, 1312.335958
 274.971044,  984.251969
 274.254996,  656.167979
 273.538851,  328.083990
 272.822601,    0.000000
