Xcg/c, Mass
  33.504847, 14727.506111
  37.847453, 14931.506111
  41.608278, 15135.506111
  44.810533, 15339.506111
  47.476211, 15543.506111
  49.626165, 15747.506111
  51.280181, 15951.506111
  52.457047, 16155.506111
  53.174612, 16359.506111
  53.449847, 16563.506111
  53.298897, 16767.506111
  52.737130, 16971.506111
  51.779185, 17175.506111
  50.439011, 17379.506111
  48.729914, 17583.506111
  46.664586, 17787.506111
  44.255144, 17991.506111
  41.513164, 18195.506111
  38.449705, 18399.506111
  41.880934, 18603.506111
  44.863741, 18807.506111
  47.412561, 19011.506111
  49.541215, 19215.506111
  51.262945, 19419.506111
  52.590442, 19623.506111
  53.535875, 19827.506111
  54.110915, 20031.506111
  54.326766, 20235.506111
  54.194183, 20439.506111
  53.723494, 20643.506111
  52.924625, 20847.506111
  51.807117, 21051.506111
  50.380145, 21255.506111
  48.652534, 21459.506111
  46.632777, 21663.506111
  44.329050, 21867.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
  41.749227, 22071.506111
