alpha, CL
  -4.000000,    0.922300
  -3.172414,    1.000597
  -2.344828,    1.078894
  -1.517241,    1.157191
  -0.689655,    1.235488
   0.137931,    1.313784
   0.965517,    1.392081
   1.793103,    1.470378
   2.620690,    1.548675
   3.448276,    1.626972
   4.275862,    1.705269
   5.103448,    1.783566
   5.931034,    1.861863
   6.758621,    1.940160
   7.586207,    2.018456
   8.413793,    2.095062
   9.241379,    2.160218
  10.068966,    2.204661
  10.896552,    2.223211
  11.724138,    2.214770
  12.551724,    2.182325
  13.379310,    2.132947
  14.206897,    2.077794
  15.034483,    2.032103
  15.862069,    2.015199
  16.689655,    2.050492
  17.517241,    2.165472
  18.344828,    2.391717
  19.172414,    2.764887
