Mach, Specific Range
   0.268261,    0.264212
   0.271152,    0.267265
   0.274044,    0.270148
   0.276935,    0.272864
   0.279826,    0.275428
   0.282718,    0.277836
   0.285609,    0.280090
   0.288500,    0.282195
   0.291391,    0.284127
   0.294283,    0.285904
   0.297174,    0.287542
   0.300065,    0.289051
   0.302956,    0.290441
   0.305848,    0.291645
   0.308739,    0.292703
   0.311630,    0.293663
   0.314522,    0.294474
   0.317413,    0.295116
   0.320304,    0.295685
   0.323195,    0.296052
   0.326087,    0.296317
   0.328978,    0.296475
   0.331869,    0.296460
   0.334761,    0.296385
   0.337652,    0.296088
   0.340543,    0.295776
   0.343434,    0.295246
   0.346326,    0.294701
   0.349217,    0.293946
   0.352108,    0.293136
   0.355000,    0.292209
   0.357891,    0.291166
   0.360782,    0.290112
   0.363673,    0.288804
   0.366565,    0.287511
   0.369456,    0.286098
   0.372347,    0.284583
   0.375238,    0.283076
   0.378130,    0.281360
   0.381021,    0.279605
   0.383912,    0.277868
   0.386804,    0.275963
   0.389695,    0.274009
   0.392586,    0.272042
   0.395477,    0.269970
   0.398369,    0.267824
   0.401260,    0.265698
   0.404151,    0.263551
   0.407043,    0.261214
   0.409934,    0.258901
   0.412825,    0.256611
   0.415716,    0.254304
   0.418608,    0.251844
   0.421499,    0.249403
   0.424390,    0.246989
   0.427281,    0.244603
   0.430173,    0.242072
   0.433064,    0.239544
   0.435955,    0.237046
   0.438847,    0.234579
   0.441738,    0.232089
   0.444629,    0.229525
   0.447520,    0.226980
   0.450412,    0.224468
   0.453303,    0.221988
   0.456194,    0.219522
   0.459086,    0.216968
   0.461977,    0.214443
   0.464868,    0.211953
   0.467759,    0.209497
   0.470651,    0.207074
   0.473542,    0.204651
   0.476433,    0.202177
   0.479324,    0.199740
   0.482216,    0.197337
   0.485107,    0.194968
   0.487998,    0.192638
   0.490890,    0.190342
   0.493781,    0.188016
   0.496672,    0.185689
   0.499563,    0.183397
   0.502455,    0.181148
   0.505346,    0.178932
   0.508237,    0.176748
   0.511129,    0.174597
   0.514020,    0.172478
   0.516911,    0.170313
   0.519802,    0.168182
   0.522694,    0.166083
   0.525585,    0.164016
   0.528476,    0.161979
   0.531367,    0.159972
   0.534259,    0.157995
   0.537150,    0.156048
   0.540041,    0.154123
   0.542933,    0.152166
   0.545824,    0.150237
   0.548715,    0.148338
   0.551606,    0.146469
   0.554498,    0.144630
