Mach, Specific Range
   0.284534,    0.227299
   0.287118,    0.229734
   0.289702,    0.232047
   0.292286,    0.234235
   0.294870,    0.236308
   0.297454,    0.238266
   0.300038,    0.240115
   0.302622,    0.241862
   0.305206,    0.243513
   0.307790,    0.245066
   0.310374,    0.246467
   0.312958,    0.247784
   0.315542,    0.249026
   0.318127,    0.250152
   0.320711,    0.251152
   0.323295,    0.252092
   0.325879,    0.252905
   0.328463,    0.253621
   0.331047,    0.254292
   0.333631,    0.254785
   0.336215,    0.255248
   0.338799,    0.255554
   0.341383,    0.255824
   0.343967,    0.255962
   0.346551,    0.256054
   0.349135,    0.255997
   0.351719,    0.255906
   0.354303,    0.255666
   0.356887,    0.255438
   0.359471,    0.255016
   0.362055,    0.254595
   0.364639,    0.254028
   0.367223,    0.253406
   0.369807,    0.252761
   0.372392,    0.251956
   0.374976,    0.251159
   0.377560,    0.250239
   0.380144,    0.249230
   0.382728,    0.248232
   0.385312,    0.247119
   0.387896,    0.245947
   0.390480,    0.244756
   0.393064,    0.243458
   0.395648,    0.242091
   0.398232,    0.240735
   0.400816,    0.239345
   0.403400,    0.237819
   0.405984,    0.236280
   0.408568,    0.234754
   0.411152,    0.233129
   0.413736,    0.231461
   0.416320,    0.229807
   0.418904,    0.228137
   0.421488,    0.226361
   0.424073,    0.224563
   0.426657,    0.222782
   0.429241,    0.221018
   0.431825,    0.219184
   0.434409,    0.217286
   0.436993,    0.215406
   0.439577,    0.213545
   0.442161,    0.211702
   0.444745,    0.209768
   0.447329,    0.207817
   0.449913,    0.205887
   0.452497,    0.203977
   0.455081,    0.202088
   0.457665,    0.200146
   0.460249,    0.198173
   0.462833,    0.196222
   0.465417,    0.194292
   0.468001,    0.192385
   0.470585,    0.190499
   0.473169,    0.188549
   0.475754,    0.186602
   0.478338,    0.184679
   0.480922,    0.182778
   0.483506,    0.180901
   0.486090,    0.179047
   0.488674,    0.177191
   0.491258,    0.175295
   0.493842,    0.173422
   0.496426,    0.171574
   0.499010,    0.169749
   0.501594,    0.167952
   0.504178,    0.166180
   0.506762,    0.164429
   0.509346,    0.162631
   0.511930,    0.160850
   0.514514,    0.159094
   0.517098,    0.157362
   0.519682,    0.155653
   0.522266,    0.153966
   0.524850,    0.152301
   0.527435,    0.150658
   0.530019,    0.149007
   0.532603,    0.147342
   0.535187,    0.145700
   0.537771,    0.144080
   0.540355,    0.142482
